13000639d7	6973e	তারাও মাঠকর্মীদের নির্দেশনা দিচ্ছেন
13004fd8c9	9065c	প্রত্যক্ষদর্শী সূত্রে জানা যায়
13005d7104	2ac82	তার মনোনয়নপত্র তুলেছেন
1300b8b4d1	75936	ব্রিটিশবিরোধী আন্দোলনকারী
130129607d	69449	আগে থেকেই
1301a8bd8c	52578	বিভিন্ন রাজনৈতিক
1302798639	6c17f	সংশ্লিষ্ট থানায়
13027b58e0	fcefa	এমনি একটি ওয়েবসাইট
1302dd5650	4dd57	২ থেকে ৪টি
1302f45f06	24aed	তা হয়তোবা তাঁর প্রকাশভঙ্গির
1302ff655b	5a61c	ডাটাবেইজ সফটওয়্যারের আওতায়
1303272bf8	f280a	মারামারি হয়
1303b2cb86	98b81	প্রধানত অ্যাপ্লিকেশনভিত্তিক একটি নিরাপত্তা ব্যবস্থা
1303dfb303	2ee04	এর আগে গত বছরের ৬ জুন
130427e605	80e98	সেনাসহ আইন-শৃঙ্খলার সদস্যদের
130498e00f	4a918	তৈরি ডিভাইস কবে নাগাদ
1305083d7a	315e9	নতুন এই ঘটনাটি ঘটে
13050ae8a4	4a67e	ট্রাইব্যুনালে প্রবেশ করতে দেয়া হয়
130516c438	388c9	পাতা বিছানায়
1305c088c7	1e7c7	যথেষ্ট সময় দিতে হবে
1305e441df	68ab7	বন্ধ করার কথা থাকলেও
1306022c50	1e7c7	এ-রকম অনেক
1306073fdf	0f047	স্বাগতিক ব্রাজিল
13060bd6ca	355c1	সবচেয়ে মন্দ স্বভাব
13063a0089	bd576	কারণ সে খুব রাগী পুরুষ
1306819a64	28bb3	ফলে একজন কাউন্সিলরের তুলনায়
1306b34a42	42898	চেয়ারম্যানের বাড়িতে
1306bb64dd	84145	মেয়েদের গিলে ফেলতে হয়
130731fe42	d8c80	মার্ক্সীয় দর্শন
13075a9b59	195f7	সেই জন্যই বুঝি
1307a06337	18460	মায়ানমার
1307ca4df8	3fae0	তাদের প্রস্তাব নিয়ে
1307ff96ff	4bede	তাহা পরে বলিতেছি
130837d6a2	121bd	আর গান গাইতে
1308a58fdb	e43d4	স্বর্ণ ও হীরক
1308cad212	6dff5	তা অভূতপূর্ব
13093a1054	ee852	গ্রামবাসী
130a0a38b3	93d3b	সবে ১৭ কি ১৮
130a1cf1c9	3fae0	মুশফিকের বাগদত্তা জান্নাতুল ফেরদৌস মন্ডি প্রাইম বিশ্ববিদ্যালয়ের বিবিএ অনার্স দ্বিতীয় বর্ষের ছাত্রী।
130a264f6d	e2ba2	গরু কিনতে আসা
130a34f43e	2ecf8	এ দুর্ঘটনা ঘটেছে
130a5d687c	25696	এক বিমান দুর্ঘটনায়
130ae530a7	dafb6	নিহত হয়েছেন
130b22f3ea	18460	বিজয় বলেছে, খাবে না
130b239f18	4fbd1	সাধারণ মানুষকে এগিয়ে আসার
130b287408	ff0fe	বিশ্বকাপের কোয়ালিফাইং রাউন্ডে খেলবে
130b4d77b7	778c0	জাহাজের সংখ্যা বাড়িয়ে
130b5ca5ee	17dcd	কেন্দ্রীয় মূল শহরে
130b8392b4	6c17f	শঙ্কর টর্চ ধরেই রইল
130b8e6bdb	d71a3	এতো অজস্র যে
130bf12354	33aef	মানববন্ধন শেষে
130bf62efa	fd880	পরিবর্ধিত ও সচিত্র
130c10740a	b78ec	মাঠ পর্যায়ে যে পদগুলো রয়েছে, সেগুলো তৈরী হয়েছে সত্তরের দশকের শেষদিকে।
130c1515be	b8ed8	ইজতেমাস্থলে পৌঁছাতে না পেরে কামাড়পাড়া সড়ক ও ঢাকা-ময়মনসিংহ মহাসড়কে অবস্থান নেন কয়েক লাখ মানুষ।
130c1edae3	4f2ae	দিল্লি থেকে প্রত্যাহার করা হচ্ছে
130c5b3f1c	71522	নিজের মালিকানাধীন জমিতে
130cb2aac7	153c9	সেখানকার পুলিশ প্রশাসন
130cf7d3bb	404ee	এ গল্পে
130d40c54d	809cd	নিজামত মসজিদে
130d5b64c8	ca088	কবরের আজাব
130d6c7d99	ff0fe	লম্বা, রোগা, রুক্ষ, চেহারা
130d6f1499	10a9f	একটি বহুল প্রচারিত
130d8939e0	c463d	ঠিক এই সময়ে
130e168bc8	e754e	বাম দলগুলো
130e9a5877	698a4	দিনের পর দিন বাড়ছে বলে
130f12d1c4	d2d71	সফল হবে না
130f50df69	ce775	কোনো ক্যামেরা নাই
130f71ebfe	4fc91	তবে পণ্যের দাম
130fda8558	a7c6f	মা স্থানীয় এক পোশাক কারখানায়
13100e254c	e6e48	লোকসংগীতকে ব্যান্ড স্টাইলে
13102acf2a	3c897	এভাবে নতুন কিছু
131079d62c	a43b5	সুর করেন
1310b4d841	b8bdd	পেট্রোবাংলা
1310d6569b	35ef3	আইজিএন একটি মার্কিন ওয়েবসাইট
1310dbd6f6	2fe3c	সরকারী দল চাইছে
1311452fb2	7df87	পরে আশুলিয়া থানা পুলিশ
131186b20a	29089	বলে রাখা দরকার যে
13124be568	ea8fa	এইসময়
1312611c8d	6e8cb	বাংলাদেশ জুড়ে
1312a58c3a	e2ba2	কিন্তু বহু যাত্রী
1312c26a9f	8c07c	আচার-চাটনিতেও
1312f7d31c	323f1	এই মাছের প্রথম
13132c407c	e7230	বিশ্ববিদ্যালয়ের সংবাদ বিজ্ঞপ্তিতে
13139d77f6	520fb	২০০-৩০০ মানুষ
1314340b8d	66b3c	কর্মে তাঁর লালিত স্বপ্ন
1314a3f1d2	698a4	অবসরের বয়সসীমা
1314f9bced	ab946	নিয়ে রবীন্দ্রনাথ ঠাকুর
1315147b84	2de86	আক্রান্ত হয়েছিলেন
13151d63f7	95907	এটি বীণামণ্ডলীয়
1315391da0	321b6	পেশাদার ড্রাইভিং লাইসেন্স গ্রহণ করতে হলে
13153cde9f	282d3	সংস্কৃতি নয়
131551c5f2	e6d83	তবে পররাষ্ট্র সচিব
1315699795	d2294	শক্ত করে ধরে দাঁড়িয়ে থাকি
131585bf60	f600a	পলি
1315d150a9	2396d	তাই ভবিষ্যতের কথা চিন্তা করে
1315e10fcb	33814	৯৯ বছর বয়সে
1316521e88	7aed9	বেশিরভাগ জেলাতেই
1316ccce7a	577fa	হরতালে টহলরত পুলিশের
13171f831a	809cd	ডেবিট ও ক্রেডিট কার্ড
13172fb2f9	2396d	মায়ের কথায়
1317792315	554fe	অস্ট্রিয়াকে তিনটি
131790d78a	8845d	মিথানল ও ইথানল উল্লেখযোগ্য
13179618b9	06ea3	সর্বোচ্চ শাস্তির দাবিতে
13179ea9f0	24aed	আশোক লেল্যান্ড বছরে
1318b5601d	c463d	সিরাজগঞ্জ ও বগুড়া
1318bab49f	7b60a	সে বাড়িতে আসতেই
13192c67af	717bb	লড়াইটাই হলও আসল
1319c22a13	60f77	কতজন নেতা
1319e06125	c749e	ঢাকা মেডিকেলের মর্গে
131a065ab3	33814	পরিচয় নিশ্চিত হওয়ার পর
131a752637	37d7e	গ্রানাদার সৌভাগ্য
131a765e50	d41be	মায়ানমারের ইয়াংগুনে
131aa527bd	95f83	একটি বাহু
131aa9eacd	698ff	বেশ কিছুক্ষণ পর
131aaa5e97	29bab	এর পরপরই তারা
131aff1bb2	c6848	বিরাট মেলা বসিয়া থাকে
131b0cf51e	95f83	বহু রোমাঞ্চকর ও জনপ্রিয় লোককাহিনি
131b9957dd	cfc65	হোমারের ট্রয় যুদ্ধের
131be7b8c7	3b1f7	এখনো চিনতে পারছেন না
131c435449	f4ba7	এবং শ্রোতাদের কাছে
131c5c9ef4	b8ed8	রোমিও
131c8d7a82	536d9	রহস্য-উদঘাটনে নামেন
131ccb10d2	06ea3	কিন্তু সত্য নিত্য
131d05d477	a9a58	শত শত সদস্য
131d3cdaa2	2c9c5	সর্বশ্রেষ্ঠ এবং সবচেয়ে
131d5e9220	07660	একেবারেই অযত্ন
131d68a8bb	b618b	হেফাজতে ইসলামের
131dd681d1	9282d	স্বাগত জানিয়ে
131e12fd16	06527	শিল্পী মনীন্দ্র মিত্র
131e209f38	29d44	পায়রা বন্দর কর্তৃপক্ষের সদস্য
131e337a15	ad2a0	অ্যান্টনি ফিরিঙ্গি
131e507fdb	db181	অনেকগুলি নুড়ি পকেটে নিয়ে
131e8511af	24f73	প্রথম কোন মন্তব্য করলেন
131e8c4078	5cb47	তা ভুলে যায়
131fc12975	b4ea7	যে সকল প্রদেশে নীল প্রস্তুত হইত
1320c03347	4ea73	রাজনৈতিক শ্লোগান
1320c6073c	c8f7f	উদ্বেগ লক্ষ্য করেছি
132206c409	e3d8b	অন্যান্য শহরে বুধবার রাতে
1322906f78	6ee5f	থেকে সহজে ও লাভজনকভাবে
1322df1a82	3f875	জিজ্ঞেস করলাম
13231ae248	85430	তখন সংগঠন সিদ্ধান্ত নেবে
1323ca1ce1	ef4f8	দ্রুত সরে পড়েন
1323cdca06	e31e7	তালাক আইন
1324026bc6	91230	কেউ দিচ্ছে না
1324a2e94f	b5fdc	লেবার পার্টি তাঁকে
1325056ddc	ad98d	শুরু করেছিলেন
1325b3cbe4	3faff	ইন্ধনপুষ্ট অগ্নির ন্যায়
1325e62ed6	5639c	এছাড়া ২০০৯ সালে
1326afd0ce	bdd05	অবধারণ করিয়া রাখিয়াছি
13278ddf56	93080	সমাজতান্ত্রিক না পুঁজিবাদ
1327b0dd7e	12702	দ্বিতীয় ভাষা হয়ে দাড়িয়েছে হিন্দী
1328008f0e	4fd66	অপারেশন খরচাখাতায়
1328a71d6e	c0965	ভূমিকা পালন করেন
1328cb3bfa	1c618	নিহত খালেদা খানম কাকলী
1328d63d50	6fb36	আড়াই লাখের মতো
1328eb432a	f1240	রোগীরা পড়েন চরম বিপাকে
1328f48213	948d3	তবে আরিয়ান রবেন
1328fe6bd9	e754e	২২ থেকে ২৬ জানুয়ারি পর্যন্ত
1329151818	0d8c1	এই পরিকল্পনার
1329444932	37d7e	তিনি রাশিয়ার প্রতি আহ্বান জানান
1329a78019	80518	আবেগপ্রবণ বক্তব্য তুলে ধরে
132baca7c4	46da4	না হয় বাঘে খাবে
132d044eef	75626	স্মৃতিকেন্দ্র চত্বরে
132d0c24dd	fb4cb	নারীর সতীত্ব, মাতৃত্ব
132dd376ba	d2355	চিত্র-ভাস্কর্যের বিষয়
132dd77524	16a17	কি আমাদের বলবেন
132e186148	eaa7a	কাজে যোগদান না করে
132e45eb89	a3a6d	সফট মাখন ৪০০ গ্রাম
132e4d024b	2695f	যুক্তরাষ্ট্র প্রবাসী মূকাভিনেতা
132e744a30	5a61c	আড্ডা দিয়ে বেড়াতেন
132ed649ee	4ea73	ছোট একটি উৎস
132f16cb53	f658d	ঢাকার পুরোনো অংশ কামরাঙ্গীর চরে একটি মাদ্রাসা প্রাঙ্গনে ২০০-৩০০ মানুষ একটি মিছিল করে।
132f9086c1	9813c	দ্য শ্যাডো লাইন
1330e41ca4	91b16	নির্বাচন করতে
1331a712ad	ba2f6	আচরন করে
1332175036	ce775	আবক্ষ মূর্তি
13321e1f3a	fdcba	আমাদের বাড়ির দরজায়
1332327b8a	442b7	বলে অভিহিত করে
133258d157	e9fa7	হাই স্কুলগুলোতে স্থান পেলেন
13326d326e	c958a	ব্যাট করার পরিকল্পনা রয়েছে
1332fd7045	c7705	মিডিয়ার বাড়াবাড়ি নিয়ে
1333076b4a	f6e55	তাহাতে সন্দেহ নাই
133313a7f9	d711f	শপিং করার
133327f1f8	d2d71	প্রস্তুতকারক কোম্পানি
13334d986b	29f8c	এই সুযোগে উপজাতি জনগণ
1333503682	6aac8	শিক্ষক নিবন্ধন পরীক্ষা ২০১৪
1333efa187	b618b	আমাকে বাঁচিয়ে রাখবে
13342e66cf	b7be9	ভাড়া পাচ্ছি
1334300239	e89bb	রাত ১২টা ৫ মিনিটে
13348c7eeb	65e30	ইরানের প্রেসিডেন্ট তাই সুইস শহর দাভোসে ওয়ার্ল্ড ইকনমিক ফোরামকেই তাদের অবস্থান তুলে ধরার সুযোগ হিসেবে ব্যবহার করেছেন।
1334f1f186	b8bba	গ্রহণযোগ্যতা বড়সড় ধাক্কা খেল
1334fda237	717bb	বাংলা ভাগের প্রশ্নে
1335304a7c	d3e06	ফোক গান
133581a02d	f2097	একটা কঠিন কায়দা ছিল
133615f646	14d25	এসব অপরাধীদের বিরুদ্ধে
133677cd45	f83df	ঘোরাঘুরি করছে মাদক বিক্রেতারা
1336ff6f9b	9282d	বিভিন্ন সৃজনশীল আইডিয়া চেয়ে
13370381ae	46da4	তাঁরাই অসাম্প্রদায়িক চেতনাবোধ
13372caf4b	c3cb3	খুব ভালো অভিনেত্রী ছিলেন
1337dd8fe9	61820	চারুকলার কখনো ঠাঁই হয়েছে
1337fc832d	6b437	ঢাকাই চলচ্চিত্রের
1338119ebe	778c0	এই বলে তারা দুজন
1338e934f4	491a5	তিনি শুনানিতে হাজির হন
133949df79	77f82	বিভ্রান্ত করা যাবে না
1339b3b522	8143b	ছেলেটা ফুলে যাওয়া ডান চোখ
133a7ba20f	6b437	ভারতীয় গৃহকর্মীর বিরুদ্ধে
133ab25aec	4c1eb	আলোর দিকে
133b29a235	80505	বৈঠক শেষে
133bb5da73	ee994	বাজারে কোনো সংকট হবে না
133bef7986	4c555	প্রাচীন হিন্দু কবিকে
133c5a6479	08458	ভালো কিছু পাওয়ার যোগ্য
133c8c0464	3bea8	নিজেরই চুরি যাওয়া
133ccd094e	29089	বিদ্যুৎ কেন্দ্রের স্থান নিয়ে
133cf64b1f	2aecc	শরীর কিছুটা বেসাইজ হলেও
133d042ac7	0d8c1	এবং আইনজীবীসহ সাতজনকে
133d2dbe75	c1e30	প্রায়োগিক দিক
133d312f25	b9122	আন্তরিকভাবে তিনি
133d42b81b	4bd2c	ঢাকায় তাপমাত্রা ছিল ৩৮ ডিগ্রি সেলসিয়াস
133dc78358	14816	কুচি দিয়ে ভাজুন
133e4ee539	7d133	রমজানের ঈদের ছুটিতে
133e9de0b5	321b6	আমি ভুল সময়ে জন্মেছিলাম
133eabe5af	49d63	এটাকে প্রতিহত করা
133ee3be79	66dcd	৮৭ কোটি ২ লাখ ডলার
133fb6bb0e	18460	তিনি অনেকক্ষণ ধরে
13404afeb8	7d133	বড় পর্দায় আসছেন মাহি
134096b386	e754e	যুক্তরাষ্ট্র একটি নিজস্ব আইনের আওতায়
1340a259c2	52f27	সেটি অতি গুরুতর কথা
1340c4c4b0	9fa90	বেদে কি রকম সামগ্রী আছে
1341b95178	bdd05	বিপক্ষে নিজস্ব
1341c87d39	16a17	মারসেল পণ্যের প্রধান আকর্ষণ
134276a7e0	92f59	বিবাহবিচ্ছেদের মত
13427da50e	d3e06	প্রথমে দেবতাদের উদ্দেশ্যে
13429ad73d	28bb3	হাংরি আন্দোললের
13436f2a55	4fc91	আমার বাড়ী যাওয়া হয় না
13437352a3	9642e	সেনাবাহিনীর কর্মকর্তারা বলছেন
1343ca8ddf	491a5	এত বড় অঙ্কের অফার পাবে
13440bf3b8	c7a89	অতীতের কোনো ঘটনা
134471774c	3fb17	একটু বেশি স্নেহ করতেন
1344b1b30e	0d9f1	বাবার এই আদর সোহাগ সব
1344c7bf18	d2294	প্রশ্ন জেগে উঠল
1345cbe2b7	2fe3c	আলোকিত ঘর
13461be0b0	194f5	হুমকি নয়
13463f51e1	f6e55	অধ্যক্ষ স্যার একেবারে কাউকে
13468e32ab	8632b	মোনাজাতে অংশ নিতে ভোর থেকেই পায়ে হেঁটে ইজতেমা ময়দানের দিকে আসেন আশপাশের মুসল্লিরা।
13468fae80	ee852	গদ্য বাঙ্গালা গ্রন্থ প্রথম প্রচারিত হইতে
1347744ee7	1cb75	নওগাঁর বদলগাছী
1347ae07b8	321b6	নজরে আনা
1347bd7c70	cc18a	বিকল্প কিছু নেই
1347d9fa9f	6b437	চেয়ে নেওয়া
13480edded	80505	মামাতো বোন
1348bfc4dc	f0f95	আমি এ বিষয়ে
1348fdbf0a	e6d83	প্রকাশ হয়ে গেছে
134958f553	ad98d	আন্দোলনকারীরা দাবি জানাচ্ছেন
13498764bd	3faff	সাংবাদিক আবেদ খান মনে করেন, ঠুনকো অজুহাতে সিনিয়র রাজনীতিকদের আটক রাখার বিষয়গুলো গণতন্ত্রের চর্চার পক্ষে নয়।
1349c509cf	e8dde	এই বইয়ের প্রথম খণ্ডে
134a0b4c51	d2faf	১৮৪০ সালে অকল্যান্ডকে
134a168996	903fa	উদ্যোগ নেয়া হয়েছে
134a601f38	c0965	নাকি দেশের জন্য
134b814701	58998	রোকেয়াবিবি সীতা
134b840af3	46da4	সূর্যরশ্মির আপাতন কোণের উপর
134bb5ce84	e55de	এমনকি সরকারের সঙ্গে
134c088d1f	64092	জন্ম ৭ জুলাই, ১৯৪৪
134c2cb2e2	315e9	ঢাকা মহানগর পুলিশের অতিরিক্ত উপ কমিশনার ফাতিহা ইয়াসমিন জানান, অপরাধ প্রমাণিত হলে এই অপরাধে যাবজ্জীবন কারাদণ্ডের বিধান রয়েছে।
134d80e6d5	9b864	বাবা অথবা মায়ের নতুনসঙ্গীকে
134f2958d0	ff0fe	আর বেদনায় নীল হয়ে
134f755d87	c749e	যা এই বিগ ব্যাঙ তত্ত্বকে
134fe9766e	256f5	অগাস্টার সৌন্দর্যময় উদ্যান
135003713a	b8ed8	পথের পাঁচালি
135047a94b	717bb	প্রথম দু-তিন মাসেই
13504cf798	4dd57	ভাস্কর্যটি উদ্বোধন করবেন
135113aa4a	b9a81	সংশ্লিষ্টদের বেরিয়ে আসার
1351362262	351dd	কয়েকটি ভিডিও ডকুমেন্টারি
13513d9cd8	39dd0	বড়বু কাঁইন্দোন না
135198b186	4bd2c	দুয়েকটা ভালো বই
135281f5e5	cd3ac	শ্যাম্পু করার পর
135286eff7	9d46f	মেয়েদের ব্যাপারে
1352c87406	f658d	তারিখ ছিল ২৬ এপ্রিল
1352f09391	38d3a	আই লিগ ভারতের
13530359ad	a43b5	আর সে সম্ভাবনা না থাকলে
13533f25e7	eb179	১-১ গোলে
1353584f40	32c77	অচেতন অবস্থায় উদ্ধার করে
135388506b	b08d0	টহল শুরু করেছে সেনাবাহিনী
1353bde4df	e9759	সাজ্জাদুল আলম ববি
1353c7b051	d2355	এই দিশার গেয়ে দিশাটি
