b600d7fda5	7297e	ভাঙা জুতার বাড়ি খায়
b6a7416c83	f2780	কাটিয়ে দিচ্ছেন সারাদিন
b6a749bfcb	76329	গ্রাম ও শহর
b6a79653d9	b618b	এসব গুমের রহস্য
b6a86270a6	eb179	আমরা নতুন নতুন পোশাক
b6a87d2b76	4fc91	জুস
b6a91a7d92	4a67e	বঞ্চিত হচ্ছে নতুন প্রজন্ম
b6a9853150	2ecf8	এক প্রকার হরমোন
b6aa3df9d0	c1e30	মাথায় তখন
b6ab0bee99	355c1	তার বিরুদ্ধে ফতোয়া জারি করলে
b6ab72ae7d	cfc65	দানি আলভেস, পেছনে নেইমার
b6ab937326	85430	ছোট ছোট ঢিল
b6abcdb9b3	23291	একদল সন্ত্রাসী
b6ac259320	10a9f	জয়ের ব্যাপারে
b6ac2fa739	ef4f8	শ্রীদামাকে কৃষ্ণ বর
b6ac87d591	e2f12	সম্মেলনে ও উৎসবে
b6aca65013	f2097	পিস্তল
b6ace48fd4	c11b1	বিষয়টি আমাকে ব্যথিত করেছে
b6ad0fe820	0d4cb	সেই দূর্নিরিক্ষ অন্ধকারে
b6ad2af199	9c8dd	গ্রন্থকারকে না জানিলে
b6ad3ddf06	0633a	লেখককে লেখা নিয়ে
b6ad7afcd3	86b1b	অনুভূতিতে প্রকাশ
b6ae163619	16cfb	যারা আসছে
b6af2aecb1	195f7	মা খবর পাঠান
b6afc0ab77	2de86	পা দুটি উঁচু করে
b6b04a75f9	6fb36	জাতীয় পরিচয় নিবন্ধন অনুবিভাগ
b6b0e3348e	e3f89	৫০০ টাকা করা হয়েছে
b6b11136da	33aef	পড়াশোনা শেষে তিনি
b6b1178a5e	e89bb	পরাগধানী থেকে পরাগ রেণুর
b6b12d721f	12702	প্যান্ট ছিলো না
b6b176f322	315e9	একজন কসাই
b6b2cc2592	7ec1c	ভাগ্য ছিল
b6b2d56485	33814	এবং সকালে
b6b354c6dd	80518	অলসতা মানে
b6b36fd85d	616ec	৩৮তম জাতীয় অ্যাথলেটিক প্রতিযোগিতায়
b6b3a15075	7f2ef	এ সংখ্যা ৪৭ শতাংশে গিয়ে
b6b3e89c61	ac904	তিনি সিনেমার স্ক্রিপ্ট লিখতে
b6b4b7bcc0	2f547	যারা আফগানিস্তানের কিছু এলাকা
b6b4fb97b8	194f5	শুকুর আলীর স্ত্রী
b6b6430058	8edea	নম্বর পেয়ে
b6b6cd3f47	77f82	পরম সুখে বাস করে
b6b78813b7	880ae	ছোটদের ভৌতিক উঠোন পেরিয়ে
b6b7d7070e	8cf95	সেই যে বর্ণাশ্রম প্রথা
b6b7f01c6e	d9ba9	রোমান্টিক এসএমএস
b6b91bca36	cd3ac	পৃথিবীটা যখন হয়েছিল
b6b9204af9	ca088	আমাদের কিছু জানায়নি
b6b94b349a	194f5	সৌর বিদ্যুৎ কাজ করছে
b6b94cdd88	4fd66	খুব শিগগিরই নতুন শিক্ষক
b6b9525170	38ff0	যার উপরে
b6b97a42cf	2ac82	ওই মাছ ধ্বংস না করে
b6b9a091dd	315e9	ইচ্ছা রাখি
b6b9debb57	9b864	ব্যারিস্টার তানজীব উল-ইসলাম
b6b9fcf2b3	7b103	বেজে যায় পাথরের ধাতব রাগিনী
b6ba0dec87	42898	অভিনয় করেছেন ইন্দ্রনীল সেনগুপ্ত
b6ba609e69	acb88	মজার অজানা
b6bb214293	4bede	রক্ষা করেন
b6bb5dbee9	3f493	পরিনতি কী হয়
b6bb60d239	c8f7f	স্নান করি আমি
b6bb973922	7b132	হঠাৎ মাথাটা ঘুরে গেল
b6bbc4aacb	b618b	স্থির থাকতে পারে
b6bc09162d	cf82a	মোবাইল ফোন নম্বর নিয়ে
b6bc35b7a9	37d7e	গাছ চোর উপাধি
b6bc7f95aa	4237e	অ্যাকাউন্ট
b6bcb43383	9e923	সঠিক এবং নিয়ম মাফিক
b6bccdb307	8c07c	একদিন দুপুরবেলার দিকে
b6bcde32f1	4bd2c	আজকের যে ব্যাপারটি হইয়াছিল
b6bd561396	31f09	এ কারণে রাতে
b6be7ee1af	2396d	সুতীক্ষ্ম হয় কি না
b6bf2812a0	79b06	উভয়েরই ঠোঁট এবং পা কালো
b6bf3c1246	903fa	কয়েকদিনের জন্যে গেছি
b6bf5bf8ee	0f047	সরকারি মালিকানাধীন
b6bf7540c0	80505	চকলেট নেওয়ার জন্য
b6bf9a3fc3	53396	বন্দুক হাতে বেরিয়ে যান
b6bfdb789c	eb179	ওদিকে স্যামসনের দেখাদেখি
b6bfededcd	47e8d	ছুঁয়ে গেছে
b6c00b8041	0a7a0	স্বামী আছেন আরেক শহরে
b6c0407a1c	2b883	গ্যামবন ডাম্বলডোরকে
b6c041a215	ced74	বড় সহেলি
b6c0627913	9351a	সাংবাদিকদের জানিয়ে দিলেন
b6c07c3267	256f5	সম্প্রতি মুয়াম্মার গাদ্দাফির
b6c15924bf	80505	গানটির রেকর্ড সম্পন্ন হয়েছে
b6c1bcc49e	6c17f	ইউরোপীয়রা সর্বপ্রথম আসে
b6c2617031	274ee	এসিয়েনও তাই ঘানাকে নিয়ে
b6c2a28e93	88654	জমীদার কাঁধে
b6c32699ce	2bc73	এসব কাজের মধ্য দিয়ে
b6c3ee13c2	2909b	পৌঁছাতে পেরেছেন
b6c4250abd	2396d	নতুন কেন্দ্রীয় কমিটি
b6c4480e24	16e96	তাৎক্ষণিক এক সংবাদ সম্মেলনের
b6c4728b15	12702	তা শুধুমাত্র দাপ্তরিক উদ্দেশ্যে
b6c4a2c8dd	d9ba9	কিন্তু মাঝে একটুখানি জায়গায়
b6c53e3c13	8845d	নারী উন্নয়ন মেলার কারণে
b6c59441dd	d5213	বই কিনে কেউ কখনো
b6c59ad1f4	943de	পার্শ্ববর্তী দেশে
b6c5a60a91	b8ed8	জাতীয়করণ করা হয়েছে
b6c5af2a75	c5dc8	অযৌক্তিক গোঁ ধরে চলেছিলেন
b6c5c24e06	2695f	বেশি উপযুক্ত
b6c5d5cacb	64092	লাল হইয়া গিয়াছে
b6c6a025e0	f0f95	মূখ্য মন্ত্রী মমতা বন্দোপাধ্যায়
b6c72427a7	43fc0	অশোক সেন
b6c799fe0d	e68af	যশ আজ ছড়াইয়া পড়িয়াছে
b6c7de1dfb	7b900	তিন চাকার গাড়িকে
b6c8067469	860f4	চাঁদ পবিত্র
b6c82a4ffd	3bea8	এ শাড়ি তৈরিতে
b6c8431ac4	b8fe1	৮ জন কারিগরের
b6c8a8ec7a	f143a	লক্ষ্য রাখতে হবে
b6c8cf3e1a	d8c80	সেই রাতে না হোক
b6c8d67ea0	cb1aa	এরপর সে
b6c903c47c	92bd8	ইসলামিক কবিতা
b6c98923fc	8ba2b	পরিচালক ড্যারেন আরোনফস্কির
b6c9bca5b8	58998	কোনাবাড়ী হয়ে কালিয়াকৈর এলাকায়
b6c9f41d0a	e89bb	কুফরি
b6ca0839d1	ea5be	অপ্রতুল তথ্য বিভাগের
b6ca6f77b4	4dd57	সেশনজটে পড়তে যাচ্ছে
b6cb656ef6	6973e	একটি নাটকের কাজ করার
b6cbfb86ee	91230	বাস্তব
b6cc3eebd3	f600a	কিন্তু এটি আসলে টিঁকে আছে
b6ccdce8e1	f2097	বিমানটি দক্ষিণ ভারত মহাসাগরে
b6cd97e32b	06bb7	খবর তাদের কাছে নেই
b6cdd0e015	880ae	যিনি প্রথম স্পিকার হলেন
b6cddacf66	cfc65	প্রায় পাঁচ ধরণের
b6cde0b1f7	43fc0	মসনদ দখল করেছিলেন
b6ce0db5bd	7c272	জানুয়ারির সমীক্ষায় ইঙ্গিত ছিল
b6cecab888	88654	যে কোনো জায়গায়
b6cf16f963	870e3	প্রথম একজন মানুষের সঙ্গে
b6cf606b6a	69449	শেষ উত্তেজক দৃশ্যের পর
b6cf76fd2e	274ee	ভোগান্তি পোহাতে হয়
b6cf9c121b	42898	কখনও বউ নিয়ে
b6d026f783	0696e	শুক্রবার উইকেট রক্ষকের
b6d091c416	153c9	কিশোরীর বাবা বাদি হয়ে
b6d13f174a	16cfb	ঘটতেই থাকবে বলে
b6d205a107	80539	টেবিলের তলা ও পাশ
b6d23e486a	8edea	থিয়েটার গিয়ে দেখি
b6d2e76754	3b1f7	এবি মির্জ্জা আজিজুল ইসলাম
b6d2ea79a4	d41be	ধ্বনি যেন
b6d30b7f82	f2097	ডিম ১০টি
b6d3e78e3f	d136b	মৌলিক বিষয়গুলোকে
b6d3e8d61b	2de86	লড়াইয়ে মেতে উঠল
b6d405d56c	1c618	সহায়তা করে
b6d412a5d2	85430	রিও ডি জেনিরোর
b6d47306d5	d8c80	এসব তথ্য জানানো হলে
b6d52d6e28	af81d	জাফর ইকবালের
b6d54810ac	7898e	মারসেল পণ্য
b6d5b14082	18a52	ইতিপূর্বে আর কেহ লিখেন নাই
b6d5b44133	778c0	থাপড়ানো পরোটা
b6d61ac51b	66dcd	কর বাড়ানোর
b6d633b77a	b8bba	দিনাজপুরে বাড়তি ফসল হিসেবে
b6d68f63e0	da6f0	কারো কারো সমস্যা হলে
b6d6f71051	509f6	পূর্ণ হয়ে যায়
b6d6fd614c	f837a	সব ধরনের ব্যবস্থা নিতে
b6d736672f	6b437	এন্ড্রয়েড মজা
b6d746caf3	cb1aa	মন্দির হল
b6d76dd1e3	0a87a	বর্ষবরণের চাঁদ দেখত
b6d7d376a9	f0f95	শক্ত হাতে ধরা
b6d8044862	2d78f	সুপারি
b6d8707198	d2faf	তাদের এই সমাবেশের
b6d8872787	287bd	মধু ভালো করে মিশিয়ে
b6d89ea7e6	bf530	ম্যাক্রোমিডিয়ার তৈরি
b6d9960574	d41be	গোল করে এগিয়ে নেন অলরেডদের
b6d9df191c	e3d8b	তাঁর নাম আলোচিত হচ্ছিল
b6da7549a3	fbb81	বিশ্ববিদ্যালয়ের প্রক্টর
b6da761cc9	f29bf	অভিষেক এবং অ্যাশ
b6dabab08f	79b06	উল্লেখ করলেন
b6dac14f95	3fae0	ক্রেস্ট, সনদপত্র
b6dacdea27	d9817	নারায়ণগঞ্জের জ্যেষ্ঠ আইনজীবী
b6db4cff13	03284	শুক্রবার থেকে
b6db629b1f	0bace	তার নিথর হাত ধরে
b6db8e6c23	eaa7a	উদ্ধার হওয়ার পাঁচদিন পরে হাসপাতালে গিয়ে দেখা যায় কঙ্কালসার মেয়েটির সারা শরীরে আঘাতের চিহ্ন।
b6db97a110	fcefa	মাইলস্টোন কলেজ
b6dbb772bd	f7a7f	সেই একই জিনিস
b6dbe3328f	37d7e	অফিসার জিজ্ঞাসা করলেন
b6dbec1849	f6e55	ক্ষেপণাস্ত্রের প্রথম
b6dc0a6fd6	0edef	প্রাথমিক ও গণশিক্ষা মন্ত্রণালয়
b6dc381c48	778c0	ডুবে যাওয়া লঞ্চেরই কর্মচারী
b6dc5af202	967fd	পরবর্তী কয়েক দশকে
b6dce9743e	520fb	ভাল ছিল না
b6dd6032c3	f9dfb	তাকে গ্রেপ্তার করা হয়
b6dd8f4140	91223	এলাকাভিত্তিক এদের
b6dd9e64d4	7ed14	সময় গেলে
b6ddf5f9e8	fda1a	যে স্বীকারোক্তিমূলক জবানবন্দি দিয়েছেন
b6de08ca1a	80518	চুক্তির খসড়া তৈরি করা হবে
b6de2537b2	7d3e1	ও দুইজন ফরাসী নাগরিক রয়েছেন
b6de562fde	a7c6f	জেলে পাঠানো উচিৎ
b6de60c848	315e9	আইলাম আর গেলাম
b6de670c62	49543	সম্ভব হলে ঘড়ির সঙ্গে
b6df2eb690	0a87a	বিষ্ণুপুরাণে ইঁহার বিবাহবৃত্তান্ত
b6dfbd9df4	c2082	উপাদানকে বলা হয় প্লাজমিড
b6e0048c16	e03fc	শ্রমিক সংগঠনসহ বিভিন্ন সংগঠন
b6e0546b47	536d9	ডাকার ক্ষেত্রে
b6e05dc651	f1ea4	তারা এজন্য
b6e0a463c1	7b900	আউটলুক মানি
b6e0f434b4	06bb7	বাদ দিলে
b6e14d6a52	16cfb	বাঙালি তা আবিষ্কার ও ব্যবহার করেছে
b6e18406de	616ec	অভাবনীয়ভাবে ক্যাচগুলো
b6e1979fe7	11de3	নাইজারের প্রথম প্রেসিডেন্ট
b6e1a72ff2	4486f	শেষ করা যাবে না
b6e1ce3e4e	7aed9	আমাদেরও বিপদে ফেলা হয়েছে
b6e22d4f1b	52f27	ঠিকমতো মাথা তুলতে পারেন না
b6e2601dbb	e03fc	পোঁটলা বানালেও
b6e34bb85d	8c120	পূর্ব দ্রাঘিমার মধ্যে অবস্থিত
b6e3d9024c	c3cca	আফগান ক্রিকেটারেরই
b6e3fa9408	47e8d	কোনো সম্ভাবনা নেই
b6e3fb71d0	6aac8	ওটা এখন দীপুর বিছানা নয়
b6e476b64c	e2ff7	তেমনই আসে বৈচিত্র্য
b6e51e797d	80518	এ ব্যাপারে অগ্রণী ভূমিকা
b6e52fad5d	0d9f1	ছোট ভাই প্রখ্যাত অনুবাদক
b6e5a6d5b7	33aef	তাঁর অন্নপূর্ণার ঝাঁপি কবিতায়
b6e5e2df48	29d44	নাম আছে কি?
b6e5ea7df4	4bd2c	দেশটা অনেক পাল্টে গেছে
b6e622656b	121bd	ব্র্যাকের পক্ষ থেকে থানায়
b6e63b199f	e03fc	তিনটা মিস্ড কল
b6e64c5481	76329	দেশের মধ্যে ক্রমশই অসন্তোষ বাড়ছে
b6e6be9a52	1e7c6	অনুসন্ধানে বেরিয়ে এসেছে
b6e6c60336	a4750	তার একটি লেখায়
b6e6e8db16	e8dde	কিন্তু টিউমার
b6e745fabf	ea5be	ভরণ-পোষণ চালাতে
b6e8934c45	d2355	বিশেষ করে এশিয়া কাপে
b6e8dfee05	ce629	তাহারা খাঁটি কথা শুনিলে
b6e90e6f09	68ab7	পরিস্থিতির মধ্যে নিয়ে গেছে
b6e9682b6c	4dd57	দাঁতে দাঁত ঘষা
b6e9817a12	f2097	মুক্তিযুদ্ধে বাংলাদেশকে সহায়তা করে
b6e9b5840f	8ba2b	নোটিশ করেছিল দুদক
b6e9f592cc	14816	মুন্সীগঞ্জ
b6ea4ecd57	321b6	একটা নীল বুটিদার শাড়ি
b6eacc11bc	06736	টুক করে
b6eb4fbb29	554fe	ঘটনার সঙ্গে জড়িত সন্দেহে
b6eb92e9a7	f83df	রাজনীতি করে
b6ebdec0e9	948d3	শুটিংয়ে রাত হলে
b6ec064255	d9b11	এর কার্যক্রম শুরু হয়
b6ec1b06f4	4f450	জীবিকানির্বাহ করে
b6ec6ca7f3	68549	মার্কিন যুক্তরাষ্ট্রের চেয়ে
b6ec949d5b	fdcba	অনুপস্থিতিতে প্রতিযোগিতামূলক
b6eca1af08	fcc89	বন্ধ করার কথা
b6ed5cd5cc	ee852	ত্বকও হয়
b6ed840a42	282d3	১১১ জন পোশাক শ্রমিক
b6edabb160	f2b7d	শেষ হওয়ার কথা ছিল
b6edaeb7c6	03284	তিনিও অংশ নিয়েছিলেন
b6ee3768c9	b8ed8	শুক্রবার পরীক্ষা-নিরীক্ষা চালিয়ে
b6ee8444e3	6973e	ও গৃহকর্মী সুমি
b6eeede06c	7b60a	মা আবার বলেন
b6ef006c21	121bd	তেম্বু গোত্রে
b6ef53e00e	2c9c5	এক কর্মী বলেছিলেন
b6ef7bd4aa	d2294	ভিন্ন দেশে, ভিন্ন পরিবেশে
b6efeb1046	93080	স্থানীয় কোচ
b6f01d8dbf	0e637	তাহা মীমাংসা করা দুর্ঘট
b6f0b94715	5dd61	দুটো চিতাবাঘ
b6f0fea11a	3fae0	তবে শেষ দিকে
b6f11fbb87	2f547	না পাইয়া
b6f1311c6c	c7a89	এসব দেশের তরফে
b6f18713cb	92bd8	তাই তিনি মার্কেটে এসে নিজে পরখ করে কাপড় কিনতে চান।
b6f22cce7e	2d78f	আমাদের সংসার চলছে না
b6f23adf7c	35ef3	এ মতামত দেন
b6f2473337	d41be	ভারতের ২০০১ সালের
b6f2532dcf	d5f7b	গুলশান
b6f26a0df9	22096	হ্যাকারস চলচ্চিত্রে
b6f3606bb6	e31e7	একজন মেয়ে-মৌলবি দরকার আমাদের
b6f36ee699	e43d4	রাজধানী ঢাকাজুড়ে
b6f378d343	1cb75	কিভাবে বন্ধ করা যাবে
b6f3e1604f	a3a6d	হাজার হাজার শিশু
b6f417745f	73629	৫৪ ধারায় গ্রেপ্তার করতে
b6f51eba46	75f18	জলদস্যুতে পরিণত হন
b6f5495a03	24f73	উপস্থিতি অনিবার্য করেই
b6f556da51	82926	ভারতসহ কয়েকটি দেশ
b6f632b739	c7a89	সোনিয়া গান্ধীর কাছ থেকে
b6f689b21c	dafb6	প্রতিহত করা হবে
b6f7008ac1	717bb	তারেক রহমানের নেতৃত্ব
b6f74e14c7	e55de	শুধু মাত্র সমকামীতা বিষয়ে
b6f775bfa2	410fa	দায়িত্ব পালন করছিলেন
b6f89f1e17	8b859	কেহ তাঁহাকে দেখিতে পায় না
b6f8d3786c	9c8dd	১৪ শতাংশেরও বেশি প্রবৃদ্ধি রয়েছে
b6f95f8a99	f2b7d	কিছু প্রশ্ন উত্থাপন করেছেন
b6f997ccd3	d9ba9	বিরক্ত হই না
b6fa070341	d1a48	কোন সম্পত্তি পায়না
b6fa7420ab	4164f	ধর্মীয় পরিচয় নিয়ে
b6fa75f8da	bdd05	রবীন্দ্রসংগীতের একটি প্রবল আকর্ষণ আছে
b6fad8949c	31f2a	চতুর্থ সূক্তের দেবতা ইন্দ্র
b6fb7afa22	1652d	নামের সঙ্গে তিরিশের আধুনিক কবিদের
b6fba5a16f	967fd	না হয় চাটগাঁয় গেছি
b6fd034a7b	e2c11	পালন করা হবে ২৬ মার্চ
b6fd27c554	8c07c	দেশের বিভিন্ন স্থানে
b6fd556d79	f143a	মুক্তিযুদ্ধের পর ১৯৭৪ সালে
b6fd9117e9	80e98	নীলফামারী আধুনিক সদর হাসপাতালের
b6fe29052d	16a17	শিক্ষক ইতালীয় শিল্পী
b6fe3692cd	9813c	কারোর মাধ্যমে
b6fe7a6ead	7b60a	আমি শুধু মেট্রিক পরীক্ষা ছাড়া
b6feaf1fbf	8632b	বার্সার ডিফেন্ডার বারত্রা হাত দিয়ে
b6febd644d	a274b	সুপেয় পানির অভাবসহ
b6fee7f595	efc0d	চিন্তার কিছু ছিল না
b6ff21fe18	e3d8b	আপনার মতটা
b6ff652848	11bd2	খরচ বাদে
b6ff986ef5	efc0d	বাইনোকুলার দিয়েও
b6ffbc6cf0	c3cb3	আগেই শেষ
b6ffe031d0	d9817	অস্ট্রেলিয়ার প্রধান সমুদ্র বন্দর
