ca01387020	e754e	তাঁরা প্রচার করতে যাচ্ছিলেন
ca01e6fbde	bdd05	সবেমাত্র প্রাকৃতের খোলস ছাড়িয়া
ca02838fd9	32c77	প্রবেশাধিকার বন্ধ করে দিয়েছে
ca029ed479	f4ba7	মনের উপর
ca02c0d9ce	d5213	আনুষ্ঠানিক উদ্বোধনের আগেই
ca035ac11c	f2097	ভারতীয় এজেন্ট
ca03ce23c1	35ef3	মুক্তির দাবিতেও
ca03dbb8f9	92bb2	অস্ত্র বা হাতিয়ার দিয়ে
ca044e79b7	cb1aa	হ্যাটট্রিকসহ ৬ উইকেট
ca04501508	16cfb	বাংলাদেশে বিশ্বব্যাংকের ভারপ্রাপ্ত প্রধান
ca04705c19	3f875	ফুটে উঠল
ca048656dc	1b359	অংশ হয়তো প্রিন্ট করে
ca04877a10	5b13f	কয়েকজন মন্ত্রী
ca048fa71a	ac0df	নিশ্চিত করেছে
ca04b1e9ed	c6848	দুবাই
ca04b44350	767ff	আসামের একটা বড় জনগোষ্ঠী
ca05956363	f1ff2	সরাসরি বিশ্বকাপ খেলার
ca059aa14d	6b437	নির্বাচন কমিশন ভবনের ওপর
ca05a1ed94	d136b	অধ্যাপক অজয় রায়ের
ca06656fbc	4a918	লালমনিরহাট
ca06fc64ab	11915	পৃথিবীর সবকিছু
ca073a92b3	1a4a9	ড. হক বলছিলেন
ca07adf825	b00ba	এদের পরাগ রেণু
ca0908e094	d136b	ঘোষণা দিয়েছিলেন তিনি
ca094eeb70	9d398	বহনকারী গাড়িটি
ca0955cb2e	e9fa7	রাস্তায় কাঠের গুঁড়ি ফেলে
ca09a5245b	03284	তাঁর কাছ থেকে
ca09e4657b	2ecf8	ঠিক তাই করেছে
ca09e606b7	80539	মমকে বাসায় নিয়ে যায়
ca09e96360	1f733	বাইরে পা বাড়িয়েই শেখে
ca0a99dbad	dae88	শুধু ধানই নই
ca0ab804e7	09f0d	চলছিল না বলে
ca0c1145d3	6da0a	তবে তাঁর নাম
ca0c29a413	16cfb	জুলাই ০১
ca0c6836b7	43fc0	তা নিয়ে সাধারণ মানুষের মাঝে
ca0c6e5088	6d129	এক
ca0cebaabf	6e6fa	তারা দেশে প্রায়
ca0cef7a1b	91230	কোলেস্টোরেল এবং উচ্চ রক্তচাপের সঙ্গে
ca0d8476d2	420df	গালিবের আহ এ বেতাসির
ca0d8b1f93	38d3a	একটি জায়নামাজ দিল
ca0e4b0175	c0d65	বাণিজ্যিক ব্যাংকের পুঁজিবাজারে
ca0ec2c0e5	4c1eb	ইদি আমিন ছিলেন
ca0f4c88e9	d2355	টাঙ্গাইলের বিন্দুবাসিনী কলেজ
ca0f647f64	3fb17	শেষতক লুগার
ca10250482	dae88	গুম হত্যা
ca10467865	ff0fe	ভদ্রতার বালাই নাই।
ca11194921	4f2ae	এ ঘটনায় আহত
ca11197206	d1a48	এখন এ আন্দোলন সীমাবদ্ধ নেই
ca1123da36	195f7	যার যার বাসায়
ca11567a89	46da4	শুরু থেকেই প্রত্যাশার চেয়ে বেশি
ca12113bce	121bd	তান্ত্রিক
ca122b9db9	577fa	নির্বাচন করেছেন
ca124f7192	2d98b	ও মাটিডালি মোড়ে
ca1305ed05	91ac1	অথবা সবচেয়ে বড়ো পরিচয় নয়
ca134812a1	2396d	আবার
ca13aafcdc	1a4a9	ধর্ষণ করা হয় বলে
ca13ebed64	3fae0	আজ হাসপাতালে
ca14cecac0	7b103	জন্ম ১৯৬৫ সালে, ঢাকায়
ca16248303	730c3	শেষ থাকবে না
ca165c5338	e6d83	বেড়ে উঠুক
ca167a1af3	adf01	উজিরপুর উপজেলা
ca16ade8e5	6c6bf	গ্রেট ব্যারিয়ার রিফের অংশ
ca17be34f3	870e3	ভাই, চাকরি
ca1808cb34	730c3	এখন ব্যস্ত
ca18b38ca7	d82d9	সতীশকে না বলিয়া
ca18be8d63	8a46d	তফসিল ঘোষণার পর
ca18f86d5d	2d78f	একটা বাচ্চাও আছে
ca191b10b0	c2082	আজমত উল্লা খান
ca19b835aa	a274b	এই পটভূমিতে
ca1a0ac979	75936	সমসংখ্যক ম্যাচে
ca1a32de5d	0696e	তিনি কতটা সামনের দিকে
ca1b2c7251	0f047	নিরাপত্তা
ca1bae3521	4f450	আমদানি নির্ভর
ca1beae6f5	80505	মুজিবুর রহমানকেও
ca1c011bb9	72649	আনন্দ দেয়
ca1c16c9de	6da0a	অধ্যাপক সিরাজুল ইসলাম চৌধুর
ca1d0a3d0e	1652d	ব্যাঘাত সৃষ্টি করতে পারে
ca1d1821db	54e68	খানিক দূরে
ca1e15adf5	d5f7b	প্রতিবেদনে বলা হয়
ca1e50ecf7	77f82	খেলাগুলো অনুষ্ঠিত হবে
ca1f2f9648	05901	অদৃশ্য হয়ে যেতে
ca1fa465d6	4164f	উদ্ধার কাজে নিয়োজিত
ca20439f34	f2780	গীতিকার সুরকারদের
ca20692ba2	15a75	অনুযায়ী জারার সারা বিশ্বে
ca207d76cc	3bea8	বাকিরা, ফকরুল, টুটু
ca20c7c7bf	82926	ভিক্টর ইয়ানুকোভিচের বিরুদ্ধে
ca213185fc	c7705	বাকি সব জমির ওপর
ca2141cded	c7705	যিনি আর কখনো
ca214596ed	6dff5	নবমীর চাঁদ
ca219ef1bd	39dd0	আগামী ৪ মার্চ পর্যন্ত
ca21aa90a5	4dd57	গোলাম মাওলা রনি
ca21ef3d11	0d4cb	এই কাজ পরিত্যক্ত হয়
ca2252c5ed	37d7e	আকবর হোসেনের সাথে
ca22d1728f	6b437	আমার দিন চলছিল না
ca22d8d255	29bab	জন্ম: ৯ই ফেব্রুয়ারি, ১৯৪৪
ca22edbbb3	bcaa8	আতাইকুলা থানায়
ca2352cac3	7898e	হালকা হওয়ার জন্য
ca23894770	66b3c	স্বাধীন আমহারিক পুরুষদের
ca23a64483	75936	রোববার বেতার ও অনলাইনে
ca23d4aaa2	4a918	লোকজন চ’লে গেলে
ca24371ff8	10a9f	তিনি পরের ছবিটির জন্য
ca243eae82	442b7	তাই দেখানো হয়েছে
ca24ad15fb	06e62	যখন বিমলচন্দ্র ঘোষ
ca24b51274	23b22	জীবন সাথী
ca24d99203	5d80e	অস্ট্রেলিয়ার সঙ্গে মুখোমুখি লড়াইয়ে
ca24f433c2	4c1eb	বের করে দেয়
ca25063797	9092b	যে আসছে
ca25be4176	1b359	নির্বাচন আচরণবিধিমালা-২০১৩ এর
ca260628e5	69449	বেকার জনগোষ্ঠীর চাকরি
ca2627542d	f2097	বন্ধুর দিকে তাকিয়ে তো
ca2668addd	8143b	ব্যস, শিখে অবদি
ca26e83d8a	c958a	সাগুদানা আধা কাপ
ca2742a3ca	e3d8b	হল ভারতের
ca2782849a	db735	কার্যত অচল এই সংস্থা
ca27d1ab49	dae88	এবার মা হচ্ছেন
ca29090892	75936	দু-একজন ছাড়া
ca290d4f84	e2ff7	শক্ত করে ধরে দাঁড়িয়ে থাকি
ca2954df5d	5354e	রাজনীতিবিদদের মতোই
ca297de9e4	ee994	অনুষ্ঠিত হয়
ca29a0588d	adf01	বর্তমানে পাসপোর্টসহ বিভিন্ন ক্ষেত্রে অনলাইনে আবেদনের সুযোগ রয়েছে।
ca29ef079d	3faff	পড়ে যান
ca2a0fad01	e7230	নিশ্চিতের দাবি জানান তিনি
ca2a23444f	bcaa8	রক্ষা পাওয়া যায়
ca2a7d5bb3	ee4ad	বেলা ১১টায়
ca2ab5ab4a	7df87	লিপিবদ্ধ করে আসছে
ca2b58d0ea	ee7b2	তারা চান না
ca2b84bbb8	b9b98	সেটিকে খুব একটা
ca2bcc2216	c1e30	অভিযুক্ত ডাক্তারের জামিন
ca2bf01efa	6aac8	তবে পুরুষকে
ca2bf8f6e8	46da4	জয়নুল আবেদীন বলেন
ca2c810650	ee7b2	নীলাচল
ca2cbf2964	ff970	আর হয় না
ca2d36d74c	b8fe1	১০ম সভায় আয়োজক সমিতি
ca2d5b7af2	1f733	একটি এনটিক স্টোর থেকে
ca2d7570b9	af81d	৯০ সাল পর্যন্ত
ca2e171723	1b359	আলোর উৎসবের
ca2ebb5abc	60f77	কই দেখি
ca2ec227ec	ef4f8	সরিয়ে দেয়া হয়
ca2fc5b0bf	80518	আত্মসমর্পণ করার পর
ca300c80a8	4a918	১৯৫৬ সালে কাপ্তাই বাঁধ নির্মাণের জন্য তদানীন্তন পাকিস্তান সরকার কর্ণফুলী লেকের জমি অধিগ্রহণ করে।
ca30aad0b8	a46e2	বিভাগীয় ক্রীড়া সংস্থাগুলোকে চিঠি দেবে
ca30b5666d	e8dde	এ ব্রাহ্মণ বুঝি নদীতে দাঁড়িয়ে
ca310f8b84	8a46d	নজরুল গীতি
ca31978c70	7027a	মুসলিম সম্প্রদায়ের
ca319d1d6d	24aed	সংলাপে কী আলোচনা হবে
ca31cffe04	f1240	আগামী দিনগুলোতে
ca32e4d39a	44322	ভারতকে হারিয়ে
ca339e5f6c	e9759	সারসংক্ষেপ পড়া হচ্ছে
ca33f27f1f	46da4	নিহতের শ্বশুরবাড়ি
ca352460b3	ff970	হত্যা মামলায়
ca3592378b	860f4	গ্রীষ্মকালীন অলিম্পিকের আগে
ca3669ac6f	4e900	৫৯ জেলায়
ca37a21cc9	32998	গত বছর সত্যজিৎকে নিয়ে
ca382c9f44	64092	অনেক গুরুত্বপূর্ণ তথ্য
ca38448025	932bb	বেশ একটু কমিয়াছে
ca38459a96	a43b5	আমার বয়স ৭২-এর উল্টো
ca387bf589	a06a1	সুতি কাবাব, খাশির রেজালা
ca388ffab7	7ee9b	তখন সেখানে
ca391399c6	c3cca	কাচা কলোনী এলাকায়
ca39bebabf	09b32	দুরের কথা
ca3a665859	f6e55	পার্ক সংলগ্ন কুড়িল ঘাটপাড়স্থ
ca3a84cc1e	d2355	এখন কেবল এই কমিশনে
ca3a886d04	ee994	খণ্ডিত পাঠের অন্তত একটি বিপদ
ca3ad90e82	3fae0	মেসোপটেমিয় সভ্যতায়
ca3c0688a6	6e8cb	সংবাদ মাধ্যম
ca3cb33992	0633a	বৈধ হবার সুযোগ নিয়েছেন
ca3cbbac2e	28bb3	সুফায়রা পীরের এক মুরিদকে
ca3d754125	9fa90	কাজী জহির পরিচালিত
ca3daf5efd	66c6b	নৌকায়, না সাঁকো বেঁধে
ca3dc643e2	9282d	তাঁর জানা
ca3e33f3e4	2f547	এরপর আজ বুধবার সকালে
ca3e70111e	1a2a1	আমরা শাহবাগে খুঁজছি
ca3f86d265	7ed14	সেখানেই নামাজ পড়েন
ca3f9485ca	31f09	দিব্য প্রেম-পবিত্রতা-জ্ঞান-ভক্তির
ca3f96e71e	121bd	পরিকল্পিত অঞ্চল
ca40018fa7	d1b12	তা পা উঠে গিয়েছিল
ca400924d7	1de6c	আগামী মাসে ছবি দুটির
ca412c0601	ea8fa	তাঁর শৈশবের স্মৃতিকহন
ca41694463	e2f12	ধৈর্য নাকি প্রেমের গভীরতা
ca419177f9	bfac7	মেহমান চলে গেলে
ca424ce1df	153c9	গার্ডের গাড়ি থেকে
ca42501eb4	0895a	আন্ডারগ্রাউন্ড পার্টির নেতৃত্ব দিচ্ছে
ca4265f8ee	b5fdc	নিস্তার পায়নি বৃদ্ধা নছিরন
ca42d79117	1a4a9	এরপরই মিস খোবড়াগাডেকে
ca42da93fc	f600a	এ ধরনের গাছেই
ca42dd987d	089ef	বানান বিভ্রাটের যত্রতত্র উপস্থিতি পীড়াদায়ক
ca42e39a83	f6e55	আজ ভাত রাঁধে নাই সে
ca430adc62	f1ff2	প্রতিযোগিতাগুলোতে
ca436e30bf	698ff	টুকিয়ে ওতে চকাশ করে চুমু মেরে
ca43872b65	8ba2b	আক্রি শহরের ওপর
ca4394964e	07660	বগি দুটো উদ্ধার করে
ca443793c5	35ef3	পৃথক হতে পারে
ca4482b1c2	3d17c	রেজাউল করিম বলেন
ca44ec5844	d5f7b	দেশের একটি জাতীয় দৈনিকের
ca451b2b70	9f25e	এখন এগুলোই
ca4569e049	b8fe1	মি. ফারুক
ca46130f6f	3c897	ভাষার একটি অংশের ব্যবহার
ca462a5614	6fb36	পরিণামপ্রাপ্তি হইয়াছে
ca470d2b2d	9065c	নানা পর্যায়
ca471643e2	8edea	তামাশা দেখছে
ca48b2184b	a3a6d	মাহমুদউল্লাহ রিয়াদকে
ca48e43c65	4a918	এটা তাদের কাছে খটকা লাগত
ca4929b73f	0744c	অগ্রণী ব্যাংক
ca495d201d	29f8c	কনডম
ca49634454	d136b	দলের পক্ষে
ca49743179	e55de	দুলাভাই মরে নাই
ca4a1c9ade	976b1	প্রিয় অভিনেত্রীর মৃত্যুতে
ca4a7be55f	adf01	উন্নত চিকিৎসার জন্য
ca4adf44c9	cfc65	বৈঠক করেছে নেটোর সদস্যরা
ca4af8ad76	ad98d	কন্যারাশি তারাম-লের জপজবা
ca4b0874d5	2396d	২ কোটি ৬০ লক্ষ টাকা ব্যয়ে
ca4beec107	0d9f1	আমাকে দেখা গেছে
ca4c3d8401	698ff	যুদ্ধ বিমান নিয়োগ করেছি
ca4c589d90	cb842	তদন্ত কমিশন গঠন করার জন্য
ca4c997e29	a4750	উচ্চারিত হয়,
ca4caf855c	a06a1	প্রেমভাগ্য সৌভাগ্য
ca4cd9ec36	c3cb3	খুব একটা ভাল হচ্ছে
ca4d0e8bd4	39dd0	জোড়া গোলের সুবাদে
ca4d5ca1aa	9813c	আমার ঘর ভাড়াই
ca4d9cbf5a	80be1	বিবিসির সাথে গান-গল্পে
ca4db015ee	ac0df	আমরা প্রত্যেকে
ca4dc17b84	4f2ae	ভবিষ্যতে কোনো একসময়
ca4dc725f8	6aac8	উৎপাদন করতে সমর্থ হলে
ca4dcde80c	1e7c6	তিনি কর্নাটকি ঘরানা নিয়েও
ca4df22a48	b4ea7	মানুষ ও তার সমাজই মুখ্য
ca4e7bb2cd	e50f1	অজগর পৃথিবীর অন্যতম
ca4ebbfcea	ee7b2	সুজান ওবব রাইটস
ca4ef4a2fd	948d3	নরম কণ্ঠে বলেন
ca4ef4e4a0	3fc9d	ইন্ডিয়ান ভিসা
ca4f235bd0	880ae	একতরফা নির্বাচন করলেন
ca4f2ca7a1	32b3e	কিন্তু দুটি সন্তান যদি থাকে
ca4f39549b	4fc91	তাদের রবিবারের
ca4fd3aab6	95f83	ইহা মৌলিক মহাভারতের অংশ কি না
ca4ffad718	d9817	এই বিপুল জনসংখ্যার
ca51202791	f0f95	মহানগর পুলিশ কমিশনারের নির্দেশে
ca5191cff3	38d3a	সরল না হলে
ca5197ea06	0633a	মা হচ্ছেন
ca51ff6647	536d9	রাতের খাবারের পরে
ca52451c89	3faff	আইসিসির সহযোগী সদস্য আফগানিস্তান
ca525068c2	3b1f7	এদের শ্লোগান দিতে দেখা যায়
ca52e35b36	3bb15	টাকা কি গাছে ধরে
ca532c01f2	f837a	জন্মস্থানের খুব কাছে
ca5330cbc6	1c618	অনাহার-অনিদ্রায়
ca53340dfd	430b2	ফোর্ডনগর এলাকার
ca5389b423	18460	বাড়ীর মধ্যে প্রবেশ করিয়াই
ca54ef53b7	80e98	মাইক ভাঙার
ca54fdb7ec	21e54	ঝুলে থাকা অর্থকড়ি পেতে শুরু করবেন।
ca5502d1ec	7b900	দেখার অপেক্ষায় রইলেন
ca553d5da3	4f2ae	তার পর কথিত হইয়াছে যে
ca55a4d347	4164f	বাংলাদেশের উত্তরাঞ্চলে প্রচলিত জাগ গান
ca5607cd66	2d78f	কোন সুনির্দিষ্ট যোগ্যতা নেই
ca564f8bb0	93bf3	শিবচরের ১৮ টি উন্নয়ন কর্মকাণ্ডের
ca56662beb	274ee	গোটা ঐ এলাকা
ca570d1633	f280a	তবে হ্যাঁ
ca57289a50	2f547	ডাক্তার সারোয়ার বলেন
ca576efceb	9092b	কাচ্চা বাচ্চা
ca57cf97ae	64092	বর্তমান সময়ে
ca58399f7c	4a918	৮০ থেকে ১০০টি পর্যন্ত চলচ্চিত্র বেরোত
ca58bca328	57d54	বা পণ্য ধার দিয়ে
ca590f7f6d	38ff0	আমাকে তাড়িয়ে দেওয়া হল
ca597a933e	0a7a0	এগুলো দিনে সংঘর্ষে
ca5990dba8	745b7	শাশুড়ী তার মেয়ের উপর
ca59a34952	2ad74	পাঁচজন নিহত হওয়ার পর
ca5a2d4ac8	616ec	স্থানীয় মানুষদের প্রতি আমার আবেদন থাকবে শান্তির পরিবেশ আপনারা বজায় রাখুন।
ca5a2fcf36	e3f89	ঢুকে যান ছেলে
ca5a89eb76	52578	টাইম-শেয়ারিং কম্পিউটারে
ca5aa8d14c	c4973	রাজধানীর জাপান-বাংলাদেশ
ca5aa8ed8f	7aed9	এরই মধ্যে গত ১৯ জানুয়ারি
ca5b56bf97	520fb	অনেক দেরিতে
ca5b6bf71f	a46e2	১৩ হাজার রাউন্ডের বেশি গুলি
ca5b88fe67	2ee04	মিরাক্কেল কৌতুক
ca5c01060c	f280a	ট্রেনের চাকায় কাটা যায়
ca5c1ee2a1	1f733	সাক্ষ্যগ্রহণ চলবে
ca5c200a00	43fc0	বাঙালি স্টিমারের যাত্রীভাড়া
ca5c638485	0bace	রফিকুল ইসলাম মিয়া বলেন
ca5c8a0190	d9b11	সপরিবারে নিহত হলে
ca5c9ac8f9	80539	ওই ছবি তিনি
ca5ccc1cf7	0606d	তবে বায়ুমণ্ডল কম উত্তপ্ত হবে
ca5d7abcbd	c11b1	কলাভবনে পড়া ছাড়তে হয়
ca5ecd31aa	8c07c	ক্ষতিগ্রস্ত কৃষকদের
ca5f923605	9092b	একমাত্র কর্মসূচি
ca5fb0717f	9e923	সবমিলিয়ে এ সপ্তায়
ca603e32fa	536d9	কেবল শরাফ মামা
ca605faebb	967fd	বৃহস্পতিবার বার্সেলোনায় ফেরার কথা রয়েছে
ca606cbce4	9d398	ঈদে অন্তত একটি ছবি
ca60f560d7	4dd57	শ্রাবণ-আকাশে বৃষ্টি ঝরেনি
ca6104e137	bdfc1	সার্বক্ষণিক পর্যবেক্ষণে
ca618df1aa	b08d0	অফিসে যেতে দেখা গেছে
ca61b27bec	0696e	আর তারপর রয়েছে
ca61bce6bb	4f2ae	সন্ত্রাস, ভূমিদস্যুতা
ca62165448	c2082	একটি নতুন কুলি
ca62743e05	c3cb3	অর্পিত সম্পত্তি আইন
ca628a283f	9642e	দিতে পারতেন
ca62e4d742	29bab	তৈরি করা যাবে
ca6390dc4a	121bd	কলুষিত হোক
ca63975f26	ff0fe	ভারত আইনে
ca63c2d3d0	2aecc	উঠছে সে প্রশ্ন
ca641409d7	9fa90	লন্ডন চলে গিয়েছে
ca6456bd69	bd576	তা আগামী
ca646ab3d2	ea5be	খাতায় কি যেন লিখিলেন
ca64ced1a2	06e62	পুরো নিচতলায়
ca65510ecd	d5f7b	বোঝা গেল না
ca65fa88f9	93080	ভাষা উদ্ভূত হয়েছিল
ca6687f1e8	cc9fd	কানাডার নাগরিক
ca66af58e4	5354e	লিপি জানান
ca6719da86	9b864	গোয়েন্দা কর্মকর্তা মনিরুল জানান
ca67ac4d0c	28dfc	কনস্টেবল ওয়াহিদ ও আকাশ
ca67b5f531	46da4	খল চরিত্রে
ca67be5516	b78ec	গত ৩১ মার্চ
ca680fb361	31f2a	বিভিন্ন অঞ্চল থেকে আসা
ca693b20de	4bd2c	সমুদ্র উপকূলবর্তী এলাকায়
ca6958b2d7	ac904	চিন্তা করে যুদ্ধ করেনি
ca69693f8e	31f09	তার হত্যাকাণ্ডের
ca6984842e	388c9	রাজনীতি করে
ca69d5ed44	903fa	নরওয়ের পুরাণে আছে
ca6a05bac6	b9122	আর গত সপ্তাহ থেকেই
ca6a97fd58	43fc0	মিজানুর রহমান
ca6b3e2eb1	2396d	রোমান্টিক কবিতা
ca6ba1063a	410fa	তাঁহাদের অস্তিত্বের প্রমাণ কি
ca6c3874cc	195f7	ভাষার উপর
ca6cc24934	c4973	অন্যতম পুরোধা বিপ্লবী
ca6cf8813c	21e54	বেরিয়ে আসব
ca6e0d225f	80505	রিলেশন হলো
ca6e77457d	95907	যার মধ্যে
ca6e9ac4be	65e30	লালবাগে ককটেলের বিস্ফোরণ
ca6ea1fb9a	65652	তাকিয়ে থাকে
ca6eefb81e	7d133	খুলনা-সাতক্ষীরা সড়ক জুড়ে
ca6f060cd4	7b900	জানিয়ে দিয়েছে
ca6f943e94	a1201	জানান আলমগীর
ca6f9e0cc5	13b6a	দিনের দ্বিতীয় খেলা ছিল ইংল্যান্ড এবং নিউজিল্যান্ডের মধ্যে।
ca6fa3eb55	ee886	কোনো হতাহতের ঘটনা ঘটেনি
ca6feeb873	a8710	দাম্পত্য জীবন
ca705cad28	9065c	কারণ, আমার জানামতে
ca705e0461	a9a58	অংশ নিয়ে
ca7074207f	2d98b	পারিবারিক, সামাজিক, ধর্মীয় অনুষ্ঠানে
ca70b3b0e5	dafb6	তারা ধরা পড়েন
ca711f783d	9282d	এই সব বিধিনিষেধের উদ্দেশ্য
ca7154218e	b8ed8	মেনে নেয়া হলে
ca71b6c982	f7a7f	বর্তমানে বেসরকারি
ca71daa91b	d9081	দাবা খেলা বিশেষ
ca7239ebf1	29089	সোভিয়েত ইউনিয়নের কাছ থেকে
ca72437944	09b32	তার বাড়িতে এসে
ca729e9793	f89d7	আঞ্চলিক দলগুলো
ca72ec003f	e9fa7	ব্যস্ত সময় পার করছে
ca72f3a2ee	06e62	ভালোবাসা, সৌভাগ্য
ca7392271c	3faff	ইহা পূজারীর নিকট
ca749d3209	870e3	ওডেসায় সহিংসতা ঠেকাতে
ca74c3d36a	976b1	বেশি কিছু নেই
ca7581486b	315e9	বেশ কয়েকজন আহত হয়েছেন
ca758e39a1	e68af	ক্যালকুলাস নামে
ca75d1ee47	49d63	ঘরে সূর্যাস্তের পরে
ca76ab0281	66b3c	এসি কার্ডিগান
ca77549286	60b9d	অগ্নি-বরণ নাগ-নাগিনী
ca77d1cead	9092b	কয়েক ঘণ্টা
ca7824cc68	3f875	তাহলে চাকরিতে
ca78302270	11bd2	তার বাবা এখন
ca78702ba3	1e7c7	কেন্দ্র চত্বরের মধ্যেই
ca788a204c	d9b11	শারাপোভার বিদায়ের শঙ্কা
ca7898095b	3d17c	পুরুষতন্ত্রের ধারক এবং বাহক
ca78b4740b	d2355	মোটরসাইকেলও গাড়ির লাইসেন্স ফি একই
ca78cfc3c9	32998	অনেকের দাঁত শিরশির করে
ca79556ad6	54cdd	আমার খুব গর্ব হচ্ছে
ca7964e30c	2695f	রোমিও
ca799c3025	2c9c5	সবটাই মানবিক
ca7a6ae5f1	4a918	কানা
ca7a88f440	323f1	একাত্তরের ঘাতক দালাল
ca7afd27b7	315e9	হেল্লেন ও ওর্সেইসের
ca7bb4b1da	54e68	সঠিক নয়
ca7ccd027b	42898	টানা এক বছর তিন মাস শেষে
ca7d5de2be	fda1a	ভাল আছেন
ca7d911c69	c2082	সব তাদের ঠোঁটের মধ্যে
ca7e59e54d	17ca1	একটা বাড়তি তক্তপোষ ছিল
ca7e855ff8	2ecf8	মজার ম্যাজিক
ca7e995f3f	f2097	১৫-২০ মিনিট রান্না করুন
ca7eb2c6c2	75936	যাহা বেদে নাই
ca7ee5ef50	4ea73	মানুষের জীবনকে
ca7ef090fb	f7a7f	৯ই সেপ্টেম্বর ২০০৭ এ
ca7f08cd5a	b8ed8	আটটি পর্যন্ত শ্রেণীবিভাগ
ca7f206ea3	efc0d	তদন্তে নামে
ca7fb57874	e6d83	দেশীয় চিত্রশিল্পের উন্নতি ব্যাহত হচ্ছে
ca7fca7ae3	15a75	আলাদা আলাদা প্রতিবেদন তৈরিরও
ca7fdddcb5	c4973	যেসব ব্যবসায়ী স্কয়ারের এ কার্ড পদ্ধতিতে
ca802453c1	767ff	সম্পৃক্ত ছিল বলে
ca802c9440	07660	চকলেট
ca8043adfc	47e8d	ঝড়-তুফানের রাতে
ca804b29f1	1cb75	লাল হয়ে গেল শরমে
ca81233797	9e923	দলে ছিলেন
ca8173d5dd	dfefa	তোরে কি ডুবিয়ে দিলো
ca81c44a45	91223	খান সাহেব ওসমান আলী স্টেডিয়ামে
ca81defec4	4fbd1	প্রতিযোগিতায় জয় পেয়ে
ca822f26a6	adf01	গেমস শুরুর পূর্বে
ca82835cb7	0c39f	শুভজ্যোতি ঘোষ
ca82dde654	2bc73	এই সমাবেশ হওয়ার কথা ছিলো
ca82f87559	29bab	কে চেল্লায় শালা কে চেল্লায়
ca83187a50	bcaa8	মুসলমানদের তুলনায়
