cd00016507	2556b	চোখেমুখে খুশি
cdaf1fcd04	194f5	জানালার কাছে এসে
cdaf3e0158	92f59	নীল পদ্ম
cdaf923cb3	4a918	এ সত্যটা তো
cdaf9c2159	ad050	প্রদর্শনী করেছেন
cdb02ee63c	ce775	তাঁর বড় ছেলেটিও চুপ করে
cdb05c980c	58998	আতলেতিকোর পয়েন্ট ৮২
cdb0c4ec41	fda1a	তার কারণ হয়তো এটাই
cdb1b0542a	44322	খুন হন
cdb1bfbe19	880ae	সেই কনকনে শীতের রাতে
cdb1f9a658	c7705	সমাজের বাস্তবতা
cdb20d8a69	860f4	সমাজকে সুস্থ করার দায়িত্ব
cdb24596e8	b618b	কমছে না গাঁজা কেনার ধুম
cdb24a9457	ce775	স্থলাভিষিক্ত হবেন
cdb301a304	93bf3	আর নিজের লোকজনকে
cdb365e5ba	8c120	অভিযোগপত্র দেয় ডিবি পুলিশ
cdb38f1d65	93d3b	প্রতি দুই মাস পর পর
cdb3a8e377	06527	যে সময়টায় অনেক
cdb47ebc2f	1b359	অস্টেলিয়ান ওপেনের
cdb515d294	3fc9d	ইংরাজদিগের সহিত কারবারের
cdb51d5bc3	b7be9	তাই আমরা আশা করব
cdb545788a	6e8cb	টুম্ব রেইডার চলচ্চিত্রে
cdb5afb0c4	4c1eb	গোয়েন্দা কাহিনী
cdb6a013ea	1cb75	সূর্য থেকে সেই আলো
cdb6b38e3a	e00db	মনে হচ্ছে
cdb771b352	e2f12	নিহত মন্টুর বোনেরা
cdb78348a2	2ecf8	আধুনিক প্রাকৃতিক ভূগোল
cdb78632c2	9813c	তিনি শুরু থেকেই
cdb822f1f5	3fae0	পড়াশোনায় ভালো ছিলেন
cdb84898b8	f1240	আমহারা জাতির
cdb86c8202	698ff	না করার পরামর্শ দেন
cdb871d97b	e7230	ডিএসইর সাধারণ সূচক
cdb91b6f81	3fb17	বেক করুন
cdb97c7e27	c958a	এবং দোকান-পাট
cdb9b1e780	b9122	চুক্তির ফলে দুদেশের
cdb9c78233	68ab7	মিঃ শিন্ডে জানান
cdb9cd40f4	195f7	পাঁচ আসামির ফাঁসির আদেশ
cdb9ecb1d0	aabe7	মং সার্কেল গঠন করে
cdba0acdf9	ac0df	একজন ছিলেন তিনি
cdba3fe6d7	29d44	ছোট মাপের দুটি গল্প লিখে
cdba861edc	98b81	দেখা মিলল না
cdba8be2bd	49543	আফ্রিকান ন্যাশনাল কংগ্রেস
cdba93d3e9	fd880	অবস্থান নিয়েছিল
cdbaafd3ec	e55de	কথা ও সুরকে ছাড়িয়ে
cdbb37446d	6c6bf	বড় আরেকটি কাজ
cdbb636ea3	b618b	পশ্চিম বাংলার মানুষের মধ্যেও
cdbb69e04f	52578	তহমিনা
cdbb9fe5f7	4fc91	ফলে সীমিত কয়েকটি জায়গার মধ্যেই
cdbccac861	c4973	সুপারিশ করা হবে
cdbd3ed7ac	2c9c5	ডায়বেটিস
cdbd73dd78	e50f1	তার কথা বলতে যাই
cdbd9d1c72	b8bdd	২৩ রানে ২ উইকেট নিয়ে
cdbe8c8941	06736	জন্মঃ সেপ্টেম্বর ২, ১৯৮৯
cdbea24f54	f0f95	প্রদেশ থেকে পালিয়ে গিয়ে
cdbeaabb7c	c4973	আর গ্রাহকদের অভিযোগ নিয়ে
cdbeba3a66	6c6bf	এই ধরনের ঘটনাকে
cdbf15e08a	d2294	এই সমাবেশের
cdbf34c162	06e62	বহু পুরস্কারে
cdbf84804d	2d78f	সুচিত্রা সেনকে শেষ জনসম্মুখে দেখা গিয়েছিল উত্তম কুমারের মৃত্যুর পর তার শবযাত্রায়।
cdbf8c8fa4	54e68	আর্দ্রতা বেড়ে শনিবার ৮৫ শতাংশ হয়
cdc034a603	24aed	আইমারা ভাষা
cdc0eb2def	43b04	এ গ্রামে আমি আগন্তুক
cdc1dfe365	35ef3	বাবা নাই মা আছেন
cdc264eb80	c3cb3	ইফতার কিনতে এসেছেন
cdc2b201ef	b9b98	তল্লাশি বন্ধ থাকলেও
cdc2daf20b	fcefa	চাষাবাদ
cdc2dd7956	6fb36	আর এর কারণে হকিং
cdc3670acc	29f8c	আজকের দিনটি
cdc3b8149f	69d9a	এক্সপ্রেস মেইল সার্ভিস
cdc3bf6505	121bd	সংগীত জীবনের নানান দিক নিয়ে
cdc40074c0	11bd2	সিরিয়াতে গত ৩০ মাসের সংঘাতে
cdc401f748	efc0d	বিদেশি ক্রেতারা এখনও
cdc41de01f	9e923	বেশিদিন সময় লাগবে না
cdc4659386	85430	যেখানে বিষয় এবং বিষয়ীর সঙ্গে
cdc4bf29d2	1a4a9	না করানোর প্রচলিত সংস্কৃতি
cdc4d81bc6	a9a58	ধনী ও সম্ভ্রান্ত লোক
cdc4e8c295	58998	দৃষ্টিগোচর হয় না
cdc50721b3	82926	সবচেয়ে উজ্জ্বল ধূমকেতু
cdc534bb29	2695f	বস্তুত একজন রাজবন্দী সপ্তাহে
cdc58a0903	46da4	পনেরো বছর বয়সে
cdc5c1f85b	5dd61	মোটেও অবাক নন
cdc6deeb9b	577fa	বড়ধরনের বিপর্যয় ঘোষণা করেছেন
cdc70b311d	b8ed8	ঢাকার একটি বেসরকারী কোম্পানীতে
cdc757a77b	59c73	পরিদর্শনের বিষয়টি
cdc76f29a6	9d46f	ঐশ্বরিক ফুটবল শিল্প
cdc79ed024	8a46d	কিন্তু মি: রহমানের বিরুদ্ধে
cdc7b3d734	7f2ef	সম্মান শেষ বর্ষের ছাত্র
cdc7e13c66	0606d	তবে এ বিষয়ে বিকেল চারটায়
cdc7e971a9	2c9c5	১০ মিনিট বাদে
cdc813539a	f89d7	গণদাবী নয়
cdc852f4c0	2de86	শ্রমবিভাগের এমন এক
cdc85dcd5c	870e3	কারণ তাতে তিনি
cdc89ff1b6	f2b7d	ময়দা আধা কাপ
cdc8af12c3	ab946	অভিভাবক বলতে
cdc913f40f	086dd	পরাজয়ের দায়
cdc91b7f78	f7a7f	২০০৯ থেকে ২০১৩ পর্যন্ত
cdc9a5600c	60b9d	মিডিয়ায় কাজের ব্যাপারে
cdc9d0370f	71522	জাতীয় দলের সাবেক অধিনায়ক
cdca39a3b1	83c53	কিশোর-কিশোরীকে ‘গণশিষ্টাচার’ ভঙ্গের
cdcaefc2ef	b8ed8	তারা ধরা পড়েন
cdcb5d8211	ff1eb	ডিবি অফিসে নিয়ে
cdcbb83ca2	932bb	কান্না থামছে না
cdcbe41866	b4ea7	হোল খুঁজে পেল আবু হাতেম
cdcccf5558	38ff0	চিরবিদায় নেন
cdcce84328	17ca1	বিরাজমান আইনশৃঙ্খলা পরিস্থিতির
cdcd21328d	42898	ইস্টিশন ব্লগ
cdcd424c2e	28dfc	নিরাপত্তা ঝুঁকিতে থাকার কারণে
cdcd673bd8	4f450	হৃদরোগে আক্রান্ত হয়ে
cdcd848d93	5d12f	পুরো স্পেনে বেকারত্বের হার
cdcdcf092f	9fa90	দাতা সংস্থার তহবিল স্থানান্তর নিয়ে গণমাধ্যমের খবরা-খবর প্রকাশিত হবার প্রেক্ষাপটে সরকার এ কমিটি গঠন করেছে।
cdcde8a568	22096	জোগাড় করার জন্য
cdce1c16e5	4a918	পুত্র ও কন্যায়
cdce47ad55	0744c	এর পেছনে রাজনৈতিক পরিস্থিতি
cdce725b9c	321b6	অন্যদিকে বাক্য কোন
cdce7f77bb	b5fdc	কোতোয়ালি থানা এলাকায়
cdce929203	3bea8	মানবাধিকার কর্মী
cdcf1006f5	bd576	একটি নিরপেক্ষ প্রক্রিয়ায়
cdcf174451	fcefa	বাঙালি মুসলমান সম্প্রদায়ের
cdcf4dc89a	01e91	আমি খেতে শুরু করলে
cdd0312ddf	bcaa8	একটি নৌকা থেকে নেমে
cdd03ddd39	3fb17	সেখানে ত্রাণ সংস্থাগুলোকে
cdd0937f98	d2faf	আমার কাছেও বিস্ময় লাগে
cdd0a348e9	59c73	তা না হলে পানির
cdd174d22b	1a4a9	মানুষ খুন করে
cdd1a986b4	1cb75	মিকাইল শিপার
cdd1b636c8	6e6fa	হিন্দি আউটলুক সাপ্তাহিক
cdd1c02978	ff1eb	যাহাতে অশ্বিনীবাবুর মৃত্যুর কারণ
cdd1cb5590	256f5	সম্পূর্ণ পলিথিন ও ধূমপানমুক্ত
cdd1f733d4	69d9a	অভিধানটি তিন খণ্ডে
cdd23303f6	bbb22	আর এর বিপরীতে
cdd23faa96	7c272	কবি ও প্রাবন্ধিক রাজু আলাউদ্দিন
cdd34a6f6b	520fb	এভাবে হুড়োহুড়ির জন্য
cdd34af0df	717bb	বাহির হইয়া
cdd3ac7c44	37e17	জাতীয় বিশ্ববিদ্যালয়
cdd4e90c4d	47e8d	সারাটা দিন
cdd526770c	8ba2b	আমার মাথা সমান
cdd55fa94f	80539	ঘণ্টা খানেক পর
cdd583ce56	f7a7f	ফরমালিন কি
cdd5bcd7c2	88654	মুখপাত্র মো. সাইফুর রহমান
cdd5e2eb35	61820	পরিবারের সদস্যদের খরচ যোগাতে
cdd5f8cf4a	a1201	সব কিছু পাওয়ায়
cdd6f8dda1	778c0	দুই তলার ছাদে
cdd7496a88	9065c	একটা ভয়ানক জানোয়ার
cdd74aecee	8c120	কিন্তু কয়জন
cdd7779207	321b6	এসব ঘটনা অব্যাহত থাকলে
cdd7cf37dd	d0c70	সরকার গড়তে
cdd8674d5b	536d9	ভক্তির সমস্ত আয়োজন
cdd867c460	0e637	তথ্য এবং স্বরাষ্ট্র মন্ত্রনালয়
cdd8864e1a	93080	তার নির্মিত শেষ চলচ্চিত্র
cdd8d5b657	536d9	বাবা ত লেখাপড়া করছে
cdd8eb0e4e	29089	দুয়েক জন ভূমিদস্যু
cdd8ff6812	17dcd	আইন আইনের পথেই চলবে
cdd9dc58b0	baa02	দুই বাংলার ভক্তকূল
cdda40ba8e	bcaa8	সরকারি বাহিনী এবং বিদ্রোহীদের ভারী অস্ত্রের নির্বিচার আঘাতে হাজার হাজার শিশু প্রাণ হারিয়েছে, নয়তো পঙ্গু হয়েছে।
cdda49df97	8edea	ভালোই চলছিল তাদের সংসার
cdda52ed49	d82d9	নজরুল আস্তিক হলেও
cdda8da2d9	7297e	খুব একটা কাজ হয়নি
cdda94ef87	388c9	সে দায়িত্ব নিতে হবে
cddab7cbd9	13b70	ব্যাংক অবরোধ কর্মসূচিতে
cddb81a78b	68549	মাটির গন্ধ তাঁর তনুমনে আনে
cddc046ddf	a9a58	আমার এই যাপিত জীবন
cddc07ef7a	5e80b	রবীন্দ্র সংগীত
cddc1fd4cb	d41be	পুরাণের মধ্যে যে সকল পুরাণে
cddc5b6277	68549	বাংলা বিভাগের পুরনো সহকর্মীদের কাছে
cddc6611d9	536d9	মানবের কঙ্কালাস্থি পাওয়া গেছে
cddc782bb1	7297e	বিচ্ছিন্ন করে ফেলার
cddc7a7020	92bb2	তাদের শিক্ষা ব্যবস্থা
cddca65455	2d78f	ঢাকা বিশ্ববিদ্যালয় ক্যাম্পাসে
cddcc405ab	8ba2b	পুলিশ প্রশাসন দরকার
cddce06e70	aabe7	গান করিতে পারেন না
cddcff7c20	7f2ef	তা শেখানো
cddd5a7a51	0c39f	এখন নিয়ম তৈরির পর
cddd5d420e	4e900	তাদের বিচার হচ্ছে
cddd849a85	d2355	আলাপ করিয়া আসিতেন
cddd8548d9	a46e2	স্কুল
cddd916a24	2de86	মামলার তদন্তকারী কর্মকর্তা
cddda9e697	2ecf8	বন্যার ফলে সেখানকার শত শত হেক্টর ফসলী জমি বিনষ্ট হয়েছে।
cdde6185a4	ef915	পাহাড়ের সারি
cdde8045b3	9d46f	তোমার এ ধর্মজ্ঞান কি
cddefd660b	1e7c6	অভিজাত দোকানগুলোতে
cddf17495d	9f25e	যেগুলো বর্ধিত পর্যায় সারণীর
cddf3b9ce3	18460	দেখার উপায় নেই কারও
cddf405c4e	68549	মাইলফলক ছুঁয়েছিল
cddf602ed1	7ee9b	আলতাফ হোসেন
cddf9d2e99	3fc9d	সরকার প্রধান
cde00e1ad5	e50f1	রাত্তিরে মোঘলীয় আদলে
cde065a5dd	5dd61	মামলা না চালানোর
cde08b9d14	76329	যে সকল প্রবন্ধ
cde08dc591	73629	৪০ মিলিয়ন ডলার
cde0f61ae3	3f875	কিছু চালা-ধানি জমি
cde104b612	282d3	ঘেউঘেউএ না গিয়ে
cde1528a88	8a46d	আঞ্চলিক সহযোগিতা
cde1965ccf	7d3e1	আই অ্যাম নট শিওর
cde1f903f1	0bace	বনপর্বে তিনবার মাত্র
cde25ed9be	2ac82	সত্তরের দশকে
cde383dd36	fda1a	না হওয়ারই কথা
cde39b788b	46da4	আবার ভাল নয়
cde3bfa1fe	d41be	কোন রকম ত্রুটি
cde3c90db7	56508	কার পৃষ্ঠপোষকতায়
cde4a9d1f1	c0965	১০০ ডলারের কয়েন কার্ড ছাড়ার
cde5426436	bc81e	ইস্কুলে সবুজের মধ্যে
cde54ba39c	b00ba	২০০৬-০৭ সালে
cde54cbeda	3fc9d	অনেকটা জন গিলগাড ধরনের
cde5ba3ec9	8c07c	কোনরকম আশ্চর্য কিছু
cde5d5be0f	16e96	ড্র করেছে
cde6090ca9	e8dde	একটা অশ্রদ্ধার ভাব ছিল
cde6b40328	9d46f	সেখানে চিকিৎসার জন্য
cde6d119da	43b04	ভূমিকা পালন করেছেন
cde6d568e8	e2c11	নতুন কোন আইন প্রণয়নের
cde7190943	dae88	চিকিৎসকদের এ কর্মবিরতিতে
cde723809e	9f25e	বর্ণনা করা হচ্ছে
cde73f82ce	bf530	গ্রহণ করেছিলেন
cde7ba9365	5a61c	পিশাচিনীর পরিবার বলে
cde7df3221	93bf3	প্রক্রিয়া দুই ভাগে
cde81b7cbf	7ed14	অনুযোগ করলেন
cde8621c8d	06736	মডেলিং ও উপস্থাপনাও করেছেন
cde8b183de	cc18a	এ উৎকণ্ঠার মুখে
cde91098b5	f143a	প্রতিযোগিতামূলক জারিগানের আসর
cde95f2b8a	d41be	পুলিশ আমাকে তখন
cde9a473e7	43b04	আমাকে কালের পুতুল
cde9cfcdeb	cfc65	সম্প্রতি ইফতার ও সেহরিতে
cdea185f1a	16e96	এছাড়াও ২০০৪ সালে
cdea2f866e	9282d	ই-গর্ভনেন্স ভিশন পরিকল্পনায়
cdeac8bb07	a274b	বিষ্ফোরক
cdeb90a042	7b900	ভদ্রভাবে চলা দুরূহ
cdebf19ed6	18a52	পালিত হয়ে থাকে
cdec09606d	d9817	এবং পলিথিন দিয়ে মোড়ানো
cdec3d72cd	d1b12	মধুচন্দ্রিমা করে আসার পর
cdec683420	d1a48	তথ্য না দেয়ার কারণে
cded181b87	b618b	অসহায় অবস্থার মধ্যে আছেন
cded2143dd	ad98d	নামে গণ্য
cded2de205	9d7bf	ভালবাসার মানুষ চাই
cded45c1ef	410fa	সুপ্রভাত
cdee2ec782	6c6bf	মেয়ে দেখানো হচ্ছে
cdee7d284b	ea5be	বড়ই কঠিন
cdeeb5a9a1	fda1a	একাত্তরের শহীদদের স্মরণ করেন
cdef4a4451	75626	প্লট
cdef89f26e	baa02	১লা এপ্রিল, ১৯২২ থেকে
cdef8c3f03	ee852	কেন বলো তো
cdefd449bd	85430	একই ভাষায়
cdefe4f46c	92f59	কোথায় গিয়া পড়িয়াছি
cdf0371f9d	ac0df	আলোচনার প্রয়োজন ছিল
cdf05b03c8	745b7	তিনিই হয়ে উঠেছিলেন সবচেয়ে বিতর্কিত
cdf1aca0ad	616ec	কাল রাত্রে
cdf1af4186	355c1	আজ রোববার দেশব্যাপী
cdf1c4c036	e6e48	গতকাল সকালে ছিল মুষলধারে বৃষ্টি
cdf1ef34ee	5639c	রমনায় বর্ষবরণের অনুষ্ঠানে
cdf20fddcc	84145	এবং নেপাল ৫২ তম
cdf2138368	0a7a0	এমন নিঃসঙ্গ এই পথ
cdf254c12c	932bb	তার কলাবাগানের বাসায়
cdf2d69fde	730c3	চলমান রাজনীতি নিয়ে লিখেছেন
cdf2e7136c	43199	বহু পুরস্কার ও সম্মাননায়
cdf31a7acd	bd576	মুয়াম্মার গাদ্দাফির ৭ ছেলের
cdf330762f	dafb6	2 states full movie online
cdf3645838	b8bf0	কর্ণফুলী লেকের জমি
cdf36a95e2	49543	ফলে বিজ্ঞানীদের মধ্যে মতবিরোধ থাকলেও
cdf3f30887	65e30	ওদের কেন টাকা হবে
cdf44ef885	7a227	বিভিন্ন কলেজের শিক্ষার্থীরা
cdf4577132	ce775	নিজামত তাকে
cdf4a0eaea	b00ba	বিভিন্ন অস্ত্র নিয়ে
cdf4f3c7b5	38ff0	যাঁদের বোঝায়
cdf505fc5e	d8c80	নিজের জীবনকে
cdf518df70	10a9f	কোন মানবাধিকার মানি না
cdf6419c2d	7df87	এ নিয়ে কী মতবাদ
cdf689cfd8	698ff	রাজনৈতিক দলগুলোকে সমঝোতার আহ্বান
cdf6ae5d05	e03fc	কয়েকটি ইসলামপন্থী দল
cdf6f42c9e	9351a	চন্দ্রঘোনা থানার ওসি
cdf70630a6	f2780	দশম জাতীয় সংসদ নির্বাচন
cdf79dcc2b	6da0a	পূর্ব প্রকাশিত হলেও
cdf8bf26bd	ea8fa	চিত্রনায়ক অক্ষয় কুমার
cdf8e5bd89	82926	আমরা আহত সবাইকেই
cdf8f261f6	d5f7b	গুরুত্বপূর্ণ দিকটি ছিল
cdf929b357	8b859	দাঁড়ানোর সিদ্ধান্ত নিয়েছেন
cdfa4874db	bdd05	এখন পুরুষের তৈরি করা
cdfa4b4660	9d7bf	৫ জানুয়ারি
cdfa5ab21c	b8fe1	বাংলাদেশ বনাম ইন্দোনেশিয়া
cdfa93da9b	86b1b	বিগলিত চীর অঙ্গে
cdfa9af44d	16e96	সদা জায়মান যাহা
cdfab1ffc7	f2780	পড়তে হয়
cdfaccd975	75936	রহস্যভেদী - কিরীটী
cdfb18ba35	e9589	পতাকার জন্য তৈরি
cdfb56ed3b	eecdd	কম্বল মুড়ি দিয়ে
cdfb7c1754	d9ba9	তাৎক্ষণিক প্রতিক্রিয়ায়
cdfb9de233	9e923	প্রসঙ্গ এসেছে
cdfbc25183	0edef	বিভাগের প্রধান হিসাবে
cdfbd1647e	ff1eb	১৬৪৭ সালে
cdfbf02a7d	0a87a	জাতিসংঘ বলছে জাতিগত বিদ্বেষই এই সংঘর্ষের কারণ।
cdfc2ec4c9	717bb	একই পেশায় যারা রয়েছি
cdfc44cee8	809cd	সচেষ্ট হয়েছেন
cdfcd400ae	2f547	সাত বেলা
cdfce876cc	39293	দেওয়া হয়েছে তাই
cdfd043862	37e17	এই মতবিরোধের কথা
cdfd694508	121bd	৪০৯ সাউথ প্যাসিফিক অ্যাভিনিউয়ে
cdfd726c2d	7d133	সমস্যা আছ
cdfdbd7422	a3a6d	সুখী দম্পতি
cdfdc10f07	2ee04	বিরজা গোলোকনাথের সহিত
cdfe11da84	9351a	উদাহরণ স্বরূপ বলা যায় যে
cdfe37e432	491a5	এই প্রেম
cdfe591b74	f7a7f	বিজ্ঞপ্তি আকারে পত্রিকায়
cdff82bc1e	b8ed8	কেটে যাবে
cdffa97b56	e50f1	অমর্ত্য সেন তাঁর
cdffbc5231	2556b	আর এটি
