cf0013ea2d	e2ba2	তবে এদের মধ্যে
cf009f2257	3fb17	জনগণ যদি পুস্তকের
cf00c974d3	b8ed8	পুলিশের হাতে গ্রেপ্তার হয়েছেন
cf00f91fd0	8406e	এবং পুরাণ ও স্মৃতিশাস্ত্রবিদ ছিলেন
cf0122cd27	91223	সাত মিনিট বাদে
cf01238b26	c463d	হর্টিকালচার বিষয়ে
cf013a2564	b8bdd	ঐ পত্রিকায় পাঠালেন
cf018420e4	a1d4a	মনুষ্য হইবেন
cf01d36bd5	0e637	মেঘলা দিন
cf020b232c	f4ba7	হোয়াইট হাউস বোকো হারাম
cf02642e0c	2840e	আলোচনা শুরুর
cf02a0ffe4	1a2a1	লবণ দিয়ে ভাজুন
cf02b93293	58998	ধারণা প্রতিসম
cf02e403b1	af81d	নয়তো পঙ্গু হয়েছে
cf034307a1	7f71c	অনুগত থাকিনি
cf042bdeff	e55de	সেখানে সেই প্রতিষ্ঠান
cf04643e95	8ba2b	এমুহুর্তে প্রতিবেদনটি প্রত্যাহারের
cf04c5696c	948d3	জাতি গ্রহণ করতে পারে
cf052d9f18	778c0	বিশ্ববিদ্যালয়ের শিক্ষক সমিতির সদস্য
cf053aa1af	7ec1c	চাঁদসওদাগর বারুইপুরে পৌঁছে
cf055c8af5	8edea	আমাকে গ্রেফতার করা হয়েছে
cf05857188	e3d8b	১৯৯৯ সালের
cf0596b74b	f600a	এ বারও
cf05eafec0	2d98b	তার নিশ্চয়তা নেই
cf06646edf	c4973	আলো অন্ধকার
cf06e1416d	2c9c5	প্রায় ৩০ বছর
cf06e58f6d	cd3ac	এ নিয়ে বিবিসি বাংলার
cf0701cd1c	351dd	লংমার্চে বাধা দেয়ার অভিযোগে
cf07704294	b8ed8	শিশুদের বরাত দিয়ে তিনি জানান
cf0830d32f	ad2a0	যথেষ্ট সময় দিতে হবে
cf0875e52c	66dcd	১ হাজার কোটি ডলারে পৌঁছায়
cf088ffd7c	a43b5	৭ই ফেব্রুয়ারি, ১৯৮২ জীবনকালে
cf08bb7b3f	11915	স্থাপন করা হয়েছে
cf08bc2254	16cfb	বেশির ভাগ পাঠকই
cf08f4a0a0	f29bf	অন্যান্য আইনশৃঙ্খলা
cf0985f455	e03ce	প্রতিবছর ১ কোটি টন
cf098e82f3	4bd2c	আড়াইশ থেকে ৩শ টাকা
cf09943d4f	d1b12	দু'টি পাজেরো জিপ গাড়িসহ
cf09c68d42	a9a58	আইডিয়াটা কেমন
cf0a2653b9	fb4cb	অন্তত ছয়টি অ্যাক্টিনাইড
cf0a5aa75d	9b864	মূলত তারই একটি রূপরেখা
cf0ab2763b	58998	একটি তালিকা দেয়া হল
cf0b505bbe	ce180	এখন যাহা পাঠককে
cf0bc69dd6	46da4	মুক্ত না করলে
cf0bce4944	4bede	১২ জন কর্মকর্তাকে
cf0c161e99	37e17	তাই আপনাকে আমাদের
cf0c52e73c	baa02	করা উত্তম
cf0c7e76ec	d9081	ছেষট্টি বছর বয়সী মার্শ জন
cf0c83897b	554fe	ধরে নিতে হবে
cf0c883aa0	3f875	কাঙালের কথা
cf0c88f134	da6f0	সমন্বিত পরিকল্পনা করলে
cf0cc08626	bcaa8	তবে, এখন অনুমতি পাওয়ায় দলটি
cf0ceae85e	ad69a	তুমি এখন গেলে
cf0d198c8e	1e7c6	ভূমিকা রেখে আসছি
cf0d23ce7f	6e8cb	খালা
cf0dded759	80505	লিচু, সরিষা, কালোজিরার মধু
cf0e6bb4a2	2fc12	টুইট করে
cf0e7caf38	64092	যে গণতান্ত্রিক সরকার হয় না
cf0e800a69	e2c11	এটা আমার একটা প্রিয় চা
cf0eece03e	ec91c	তিনি তাঁর রোগীদের
cf0f1013e1	73629	হিমু
cf0fb9b213	ac0df	ওরা ভাল মানুষ খুব
cf0fc0d367	80e98	জয়পুরহাট
cf0fc7e203	db181	মন্দির নির্মান করা সম্ভব
cf0ffaf512	f2097	জায়ান্ট মিলি বাগ
cf10f2299f	c8f7f	জন্ম ২৮ ডিসেম্বর, ১৯৫২
cf12547ce5	b00ba	দেশের পরাধীনতা
cf12802901	57d54	অগ্নিনির্বাপক যন্ত্র
cf128f1da4	809cd	তাদের শক্তি দেখানোর
cf12f5406b	80518	জাতিসংঘ এরই মধ্যে
cf130ff4d4	ad69a	এটি একটি বানোয়াট
cf1310fb24	80505	অংশগ্রহণ নিশ্চিত করেছে
cf1397eeae	09f0d	কাজ করছিলেন না
cf14968174	9fa90	পরিচালনার প্রস্তুতি সম্পন্ন হয়েছে
cf15542f4b	9f25e	টাইম ম্যাগাজিনের বিচারে, ভারতীয় রেলওয়ের পর জনশক্তির দিক দিয়ে সাহারা গ্রুপ দেশটির দ্বিতীয় বৃহত্তম প্রতিষ্ঠান।
cf15a8defd	3bb15	কর্মকর্তা-কর্মচারিরা
cf15d0aef9	bc81e	আপনার কবিতা তো
cf169e5c21	2556b	এই বৃদ্ধের সন্তান, নাতি-নাতনি
cf16cc5298	ec91c	গত মঙ্গলবার
cf171584ad	2d98b	বাংলাদেশে বিজ্ঞানমনস্ক
cf1850d67d	2d98b	লেখিকার বায়োপসি করা হয়
cf18921a63	a1201	আমি যেমন
cf18947d23	d3e06	তোমাকে পছন্দ হলেই
cf19ae274c	e3f89	গোলাম আজম
cf19e5a9d3	a46e2	তারা ২০১২ সাল থেকে
cf1a56c192	68549	দেশের দরিদ্র মানুষ
cf1a960e48	6a35e	লিখিত প্রতিশ্রুতি দিয়ে
cf1aa46026	68ab7	সোমবার ভোরে একটি ট্রেনের
cf1adcb021	3fae0	মাঠে নামতে পারবেন
cf1adfc544	42898	তাঁহার সেনাপতিত্ব
cf1ae9467f	1f733	বৈবাহিক সম্পর্ক নেই
cf1b05718e	5b13f	পুলিশের একাংশের ভূমিকা নিয়ে
cf1b3c3090	4c1eb	ফারুক-সুমির সংসারে
cf1b49205f	18a52	রাজরূপা চৌধুরী জন্মগ্রহণ করেন কলকাতায়।
cf1b68888f	ef4f8	শৈশব থেকেই
cf1be88c3f	49d63	স্পিকারের কার্যালয়ে
cf1c6547e0	a06a1	এই সহস্রাব্দের শেষাশেষি
cf1d52a4ba	1f974	নিজের ইচ্ছার বিরুদ্ধে
cf1d9d3561	6e6fa	অকল্যান্ড পৌর এলাকাতে
cf1da40b03	a3a6d	নিয়ন্ত্রণ নিতে পারছে না
cf1dfb50a9	fb4cb	করিম জানতে পারে
cf1e2f21c9	d1b12	শিল্প-সংস্কৃতির সমঝদার হিসেবে
cf1eb80cb3	bdd05	তখন দর্শকদের
cf1effbd12	d7a68	দাদাকে বললাম
cf1f363a45	4a918	সূর্যসেনের অন্যতম তরুণ সহযোগী
cf1fc7850f	14816	২২ থেকে ২৬ জানুয়ারি পর্যন্ত
cf1fd95ae4	4bede	প্রথম টেস্টটি
cf207dfb97	3ccf1	৩৪৪ জনকে
cf20b07d4f	93bf3	তাহলে ট্রান্সশিপমেন্টের কোন পয়েন্ট
cf20bcbd08	80be1	অধিকাংশ বিনিয়োগ আসত
cf211a3cb6	ad69a	এবং আমরা
cf2155a3c2	c7a89	দেশটিতে মৃত্যুদণ্ড
cf21622ed2	cc18a	খাওয়ানো হল ঠান্ডার বাপকে
cf218acb9c	e3d8b	লড়তে হবে
cf22de77c2	520fb	ওয়াশিংটনের কর্মকর্তারা
cf237040dc	fdcba	অন্য দু জন বন্দুকধারী
cf23750166	35ef3	জব নিউজ
cf23ca9e74	bd576	ওরফে জানুকে
cf24178a50	08458	তবে নির্বাচনের
cf245c9ec5	ca088	কথা দিয়েছেন
cf245d7565	e6752	সেই সমাধিক্ষেত্রে
cf246936e6	66dcd	র‌্যাম্প মডেলিং করার
cf2473538e	59c73	মাথায় আঘাতপ্রাপ্ত ঐ ব্যক্তিকে
cf24b770f1	9065c	সময় সংবাদ মাধ্যম কর্মীরা
cf24c6fce5	43199	রাজশাহী বিভাগ
cf24fc91c2	06736	হোসেন জিল্লুর রহমান বলেন
cf25363b8f	e55de	যেখানে তিনি একজন
cf258141a0	cc18a	তার পিতার নাম
cf259358f2	57d54	বছরের হিসেবে
cf259a67fa	a0277	আব্দুল আলম অগ্নিদগ্ধ হন
cf25b0cafb	f83df	মায়ের শেষ ইচ্ছা
cf25f24b87	9c8dd	অবস্থান সুসংহত করার
cf25f83e1f	f2780	যাদের পার্লারে যাওয়ার
cf262c605b	61820	এ সময়ে
cf264af443	e31e7	নূর মোহাম্মদ জানতে পারেন
cf26778cfb	ce775	বাঙালি হিন্দু নেতৃত্ব
cf2740745c	b8fe1	যে অভিযোগ করা হচ্ছে
cf2761af12	e2ff7	টুকটাক লেখালেখির
cf27628c4a	80be1	সর্বোচ্চ ভোটের মাধ্যমে নয়
cf27ee40d3	3fc9d	খুলনা
cf284ad584	9d46f	মহানায়িকাকে নিয়ে
cf29d394c6	56508	নিয়ন্ত্রিত পরীক্ষার
cf2a09b2a4	1a2a1	আইডাহো মার্কিন যুক্তরাষ্ট্রের
cf2a4ecb38	4a67e	প্রতিদিন কয়েক কোটি টাকার
cf2a53b46d	195f7	ওই লোক কিন্তু
cf2ac809e6	d2faf	তার সহজাত বৈশিষ্ট্য
cf2acd3a54	4a67e	তার ঠিকানা হস্তগত হওয়া
cf2ae204d0	7d3e1	একজন বিচারপতির কথোপকথন
cf2b74a03d	1e7c7	আন্দোলনের এক পর্যায়ে
cf2bbb4b97	e9589	বিভিন্ন এলাকায় প্রচার করছেন
cf2bf81049	f4ba7	এই বন্যায়
cf2c457a27	adf01	১৯৫৬ ও ১৯৫৭ সালে
cf2c53be23	65652	দ্য ফরচুন-সহ
cf2cdf1d97	e55de	সেক্স, বিয়ে, এসব তো
cf2d212558	f83df	গুনতে থাকেন
cf2de2670e	4237e	একটি নতুন বিজিবি আইন
cf2e0a1827	0d9f1	একই সাথে তিনি
cf2e714f0a	e31e7	বাজারে আসতে
cf2f134895	0e637	বিষয়টি পার্বত্য চট্টগ্রাম বিষয়ক
cf2f470b20	2c9c5	তারা দেশগুলোতে শোষণ চালাচ্ছে
cf2f6122ee	ff0fe	কোনও অসুবিধাই হয়নি
cf2fa78f83	7f2ef	দক্ষ প্রজাপতির কন্যা
cf302a338e	2909b	ব্যাখা করেছেন বিষয়টি
cf303d189c	ca088	প্রথম ছবিটার কথা আজ হইবে
cf305c768c	ad2a0	বেশ আগ্রহ নিয়ে
cf30c6453b	4a918	মনপুরা
cf30d6b065	83c53	তাকে শান্ত করেছে বিজয়
cf30efa6c0	4bede	রাজধানীর রমনা থানায়
cf313a8c39	75626	আমাদের গাড়ি
cf32ad2e73	5e80b	অজদী মিনার
cf3330a9ed	d136b	মীমাংসা দার্শনিক কুমারিলভট্টের মতে
cf337998a8	0d9f1	তা শুধু আমি না
cf339a6519	ee852	সাবলীলভাবে হিন্দীতে কথাও বলতে পারে সে।
cf346ae3cc	a3a6d	এই হাসপাতালেই
cf34d4c8c7	4bede	পুরাণকথার ব্যবহার
cf36ac0dea	91b16	আজকের এই সাক্ষাৎকারের মাধ্যমেও
cf36cc06cd	ce629	প্রথম দল হিসেবে
cf36d543c6	7e191	অমিত কুমার
cf36e1eae9	9d46f	মূলধন পাওয়া যায় না
cf376ba33e	57d54	শিক্ষা এবং মানব সম্পদ
cf37f959d9	16a17	জানতে পারলাম
cf38097be8	24f73	পাবনায় সুবহানের নেতৃত্বে ও সহযোগিতায়
cf3843cbf8	f29bf	ডিএসইএক্স সূচক
cf38c1becf	d2355	বিবাহে অথবা ভোজের সভায়
cf396c7d42	0b7ca	এই অবরোধ কর্মসূচির
cf39c9997a	ced74	রহস্যময় ঘটনা
cf39ecaa6c	0d4cb	শনিবার সার্জিও র‌্যামোস বাহিনী
cf3a17b1ed	7f71c	সোমবার হোয়াইট হাউজ
cf3a1e14e9	274ee	খাওয়া-দাওয়া শেষে
cf3a310092	09b32	জুঁইয়ের সুঘ্রাণ ছড়িয়ে রাখে
cf3a9ddfd1	fd880	দ্বিতীয়বার কেউ খরচ করতে
cf3b0a0e6d	8edea	বেরিয়ে আসে
cf3c531a88	cfc65	নিশ্চিন্তে ছিল
cf3c589bb5	767ff	চেষ্টা করে অবরোধকারীর
cf3cb3aa98	16877	গত ১২ সেপ্টেম্বর শেষ করে
cf3ce177ec	e2ff7	মাদক বিক্রি করবার
cf3ce28fd9	9f25e	বিএনপির আইনজীবী
cf3d1bc051	2396d	ব্যবসায়ী ও সাধারণ কৃষক
cf3d66d8ac	693cb	আবদ্ধ থাকতেন
cf3d7fbe95	da6f0	সংস্কৃতি ও বিনোদনের বিরুদ্ধে
cf3e7348f4	5e80b	সম্প্রতি তারা একটি এনজিও অর্থাৎ বেসরকারি দাতব্য সংস্থা হিসাবে নিবন্ধন করেছে।
cf3eb66940	6b437	বিদ্যুতের ফ্ল্যাট রেট
cf3eb8fa3f	54cdd	এখনো স্বজনদের খোঁজে
cf3edde292	13b70	ওই বছর সংশোধিত
cf3f2ce2f4	f0f95	ফ্লেবারটি হচ্ছে মিন্ট
cf3f661159	9282d	অক্টোবর মাস শেষে
cf3f937412	321b6	সম্পাদন করা
cf3fedb7c1	0e637	কখনো থানায় যায়নি
cf3ffccd38	ff970	দফা দফায় সংঘর্ষে
cf4029b3f7	5d12f	এদিকে খারাপ আবহাওয়ার কারণে
cf40ba2f15	fcefa	ওরা আমারই জাতি
cf40e9832d	91ac1	ভোগ
cf410da86e	ee886	সংসদে আনুষ্ঠানিকভাবে
cf4211d300	e2ff7	এটা ওই ধরনের এলাকার বাইরে
cf425c10fe	53396	খুঁড়িয়ে খুঁড়িয়ে এসে
cf42bc205f	eb179	বুদ্ধি-বিবেচনার সাথে
cf43328bdd	dfefa	যখন তখন ডাকলেই
cf43459646	88654	আবদুল গফুর সরকার
cf4371007f	25117	মিশরের অন্তত
cf441cf841	1e7c6	প্রথম দিনেই ছায়ায়
cf44a6845d	c3cb3	ভারতীয় ক্রিকেটার
cf44f4d51e	1a2a1	শুকনো নারিকেলে
cf4529858d	29d44	দাবি করেছে গুগল
cf45435b64	37d7e	৬-১ ও ৬-২ গেমে হারিয়ে
cf457f1944	f280a	অপসূর বলা হয়
cf469bf366	e2ba2	রামপাল যাচ্ছেন কেন
cf47437b86	4164f	অনুসন্ধানী প্রতিবেদনের
cf4779bce3	af81d	সেই জায়গাটা বিপজ্জনক হয়ে ওঠে বলে
cf47b28c2f	693cb	ভারতীয় বাঙালি লেখিকা
cf483368db	66dcd	বাংলাদেশ জাতীয় দলের অধিনায়ক মামুন খান স্বপ্ন দেখেন বাংলাদেশও খেলবে বিশ্বকাপ।
cf48f179fe	ca831	জিলানি ইউনিক প্রেস থেকে
cf497cf45a	256f5	চামড়া বা লোহা দেখলে
cf49d16e19	54cdd	বাকি দুইজন
cf49df0228	8b859	এ দাবিতে তারা
cf4afb73eb	315e9	নির্মিত এই ছবিটি
cf4b513d24	9065c	আমরা কোন অবাস্তব
cf4b995597	25696	তখন ত ভারি একটা ছুটোছুটি
cf4c0c10ab	bfac7	সেটটি মোট ছয় রঙে পাওয়া যাবে।
cf4c48ae85	db735	তারিখটা ছিল
cf4c693633	ced74	আটক ঐ ভারতীয় নাগরিকের
cf4ca44e32	dafb6	দ্বিতীয় একটি শ্রেণীতে
cf4db0b676	c5479	শেষ পর্যন্ত রহস্যই থেকে যায়
cf4de35d31	5354e	স্কুলকে তা জানিয়ে রাখা
cf4e2b3a73	6b437	আরাফাত পরিবারের আইনজীবী
cf4e76c945	2ee04	আ ফ ম রুহুল হক
cf4e90f532	68549	সেই জায়গা থেকে
cf4eacd746	b8bba	হোসনে আরা বেগম বলেন
cf4ef170e9	b8fe1	ওই চারজনকে
cf500e0b06	bbb22	স্বেচ্ছাসেবক
cf50cf888f	442b7	মৃত্যুর অভিযোগ শুনলেও
cf51de43fe	65e30	নিজের ছবি দেখান
cf51f29156	54cdd	পরে বহু সুপারিশ
cf52450930	85430	পালন করেছেন
cf526a996a	430b2	জয়নুল আবেদিনের নাম
cf52787d28	d2355	প্রত্যাখ্যান করেন তিনি
cf52b995aa	6a35e	এতদিন তিনি
cf52e83fcf	c6848	তথ্য মন্ত্রণালয় থেকে
cf537ebf84	2c9c5	ও পাটানি কোর্তা
cf538556ce	ff970	খুব ভাব ছিল
cf53eb4b30	bcaa8	এই কি দেব-চরিত্র
cf54df5962	4e900	সাধারণ ও রাজনৈতিক
cf54e4e9f4	d82d9	প্রতিদিন গুম, খুন
cf5502fd2c	9fa90	১৮টি বেসরকারি ডেন্টাল ইনস্টিটিউটে আসন রয়েছে এক হাজার ৫০টি।
cf55155db3	0b7ca	কর্মকাণ্ড সম্পর্কে ইতিমধ্যে
cf5545d5e2	b9b98	বাড়িয়ে দেওয়া হয়
cf55497bf1	2aecc	লাইফ গার্ড আছে
cf555232ef	2b883	দর্শন ও সন্ন্যাস মতে
cf5599ca35	fb4cb	গত ২৯ নভেম্বর
cf55a06b25	5dec6	বাসটি উল্টো পথ দিয়ে
cf55b52f3c	b8ed8	বরাত দিয়ে
cf5639bd11	dfefa	৭ থেকে ১৬ জুনের মধ্যে
cf56c309f4	61820	অনেকের হয়তো চোখে পড়ছে না
cf56d25fec	09f0d	ইচ্ছে করেই
cf57913446	dba43	রাজকন্যা
cf5843e45c	e9fa7	এ কাজেও তাকে
cf5845cf9a	4237e	যে-ভক্তি প্রশ্নাতীত বা যুক্তিসিদ্ধ নয়
cf584d11b8	e3f89	প্রত্যাহারের কথাও বলা হয়েছে
cf586a4f05	fda1a	টাকা আনতে বলে
cf58df2eeb	491a5	ব্যাপক বিতর্ক সৃষ্টি হয়
cf5972b315	e8dde	দ্বারা নির্মিত
