ea000146a0	80be1	উপস্থিত দর্শক-শ্রোতা
eaabc99fe9	b9b98	এক বিচারপ্রার্থী নারী
eaabfbce78	3f493	ওই সময়কার ছাত্রনেতা
eaac1ad667	ee994	বিরক্ত স্বরে বললেন
eaac37a16c	91dff	কি শিশু কি যুবা
eaad15b8f5	c3cca	দাওয়াতি কার্যক্রম চালিয়ে
eaad7f31ea	355c1	সড়কপথ বন্ধ হয়ে যাওয়ায়
eaad9f708b	6ee5f	আমরা ইন্দ্রাদিকে দেখিয়াছি
eaadc49988	ced74	প্রচার হবে এই টেলিছবিটি
eaae237eb0	8b859	তাই তেলাপোকা চুল খাওয়া
eaae370251	2556b	লন্ডন
eaae42e48b	323f1	বাণিজ্যের জন্য সময় ও ব্যয় কমে
eaae4a6490	616ec	ট্রেডিং কর্পোরেশন অব বাংলাদেশ
eaae662067	c173f	সুযোগ পেলেও কখনও
eaae93106c	49d63	নিহত হয়েছিলেন
eaafbbfa28	16e96	আমি গুরুত্বপূর্ণ ভূমিকা পালন করি
eab00213d6	f600a	মাইক্রোনেশিয়া হতে পৃথক
eab04c341c	f89d7	জীবনভর পুরুষের অন্যায়-অত্যাচার সয়ে
eab056a42e	2aecc	নারী হয়ে উঠলেন
eab11c3472	85430	তিনি ভাবলেন
eab25ed7c8	f600a	এ অবস্থায় অপু একাই
eab28d0f75	71522	বৃন্দাবনলীলা বিষয়ে রচিত
eab2a381a8	e9fa7	ভাবলাম এখানে আর নয়
eab2c77d91	65e30	শিরোপা জিততে
eab3eafb46	3d17c	জবাবে আইনশৃঙ্খলা রক্ষাকারী
eab418bbc9	16e96	এখনকার কয়জন লোক
eab435c9e4	32998	এক নারী-শিশুসহ
eab44301fd	71522	তরল নিকোটিন গ্রহণ করে
eab4f04337	e2f12	মা চিবুক ছাড়িয়ে
eab51f8032	bdfc1	ঢাকায় এমন কয়েকজনের সাথে
eab54ed333	9642e	এখন তাকিয়ে আছেন
eab5c47e07	9b864	আগুনের পাশে বসেছিলেন তিনি
eab5f4fa70	2f547	তিন মাসের কথাই নাই
eab5fb70cf	d9081	ধর্মের কাহিনী শোনে না
eab61904e2	0edef	আইনী প্রক্রিয়া শেষে
eab61cf2cd	1e7c6	সেটা আমাদের জিততেই হবে
eab644af95	0633a	প্রচণ্ড আঘাতের জন্য
eab66b8096	3fb17	চীন ভারত সাগরকে
eab66d2a86	e6203	কাঁচামালের অভাবে
eab69003d9	6ee5f	চুলে পাকন, ঠিক মেলে না
eab6a3976d	c463d	যত কিছু আছে
eab6fd92ad	fbb81	এসব তথ্য জানা যায়
eab75b6ada	80505	ঢাকা তাদের দ্বিতীয় ইনিংস
eab79d7f12	2c9c5	তার আগে
eab83cdb14	a06a1	যে কুঁড়েঘরে শাশুড়ী আছে
eab8a21c76	80539	পরনে ছিল
eab8f45bcb	6973e	পরিস্থিতির যথেষ্ট অবনতি ঘটে
eab9756274	903fa	টম অ্যান্ড জেরি
eab98b96bb	2556b	অন্যান্য খাতে ক্ষতির পরিমান
eab9f2fa41	a274b	বাড়তি ক্যালোরি ভোগ
eaba36abf7	274ee	শীতে অস্থির হইয়া গেলাম
eaba622226	a3a6d	বই বিশটিরও
eaba9b048e	e3f89	উল্লেখ করা হয়নি
eabaca9c06	92bd8	আর থাকা চলে না
eabae56735	6e6fa	পরিবর্তন এলো
eabb229dbb	9351a	১২ জনের বিরুদ্ধে
eabbd433f8	cb842	ঘোষণা দেয়ার পরই
eabbdd7a83	75936	হাসিনকে ভালো লেগে যায়
eabbf8e4af	a4750	আকবরের বিশাল সেনাবাহিনীর
eabc4aba3f	13b6a	মিলন
eabc70119a	410fa	তবে ঘাটতি রয়েছে ব্যবস্থাপনায়
eabc96b898	153c9	সে কি আমিই না আর কেউ
eabce545e5	33aef	বিমানের বহরে
eabd1ec4dc	809cd	২য় দফায় এ সংবাদ সম্মেলনের
eabd771d4f	520fb	নিরাপত্তা
eabe04e5e9	ea8fa	আয়োজিত এক মানববন্ধনে
eabe0f027d	ce180	এ ঘটনায় সিলেটজুড়ে
eabe18d3b4	39293	আলাপ করেন
eabe29f322	75936	মানাম আহমেদ কথা বলেছেন
eabe4188bc	38ff0	ব্যবসা চক্র
eabe9537e6	f2b7d	এ সংগঠনটির বিরুদ্ধে
eabecf521a	13b70	আপনারা কোন দেশের রাজা
eabf00535e	c9c19	জরুরি বলে
eabf40c318	8ba2b	প্রিয়জনদের উদ্ধারের কাজ চলছে
eabf94cbe1	d1a48	নজরুলের
eabfd4c443	7ee9b	ব্যাংক হিসাব জব্দ করা হয়
eabfdc2865	7a227	সোনালী ব্যাংকের পরে
eabff49ff1	d9b11	জের ধরে
eac033db05	ce180	২২ মিনিটে তার গোলেই
eac0a0fd23	31f2a	হাসান
eac10b90ef	80505	কনসার্টের দৃশ্য
eac18dd3d4	a0277	যা কিছু
eac2507772	2c9c5	তো বুঝতেই পারো কী দুরবস্থা
eac271f2dc	870e3	গড়তে পারেন উজ্জ্বল ভবিষ্যৎ
eac27ebe9c	9fa90	এরই এক পর্যায়ে
eac2a9a9c6	b8bba	নিরাপদ কর্ম-পরিবেশের দাবীসহ
eac3120cd9	5a61c	নাজিম গ্রেপ্তার হন
eac32fe31d	cf82a	যুক্তরাষ্ট্রের একদল গবেষকের
eac34ce396	a3a6d	সব তথ্য যাচাই
eac34fa6f9	14816	সুরক্ষায় কোনো কথা বলেছে
eac38cb303	8632b	প্রতিটি রঙের
eac3952581	dae88	জানায় নাই
eac39fd8df	e55de	বসুবন্ধু দ্বারা রচিত
eac3da509d	44322	অবস্থিত একটি রাষ্ট্র
eac414cb97	698ff	রোহিঙ্গা শরণার্থীরা
eac465672a	536d9	আগের থেকে এখন
eac48dd9c9	e55de	এমন একজন লোক ছিলেন
eac4fd197c	f6e55	ফেসবুক হ্যাক
eac57f7b37	4f2ae	দুই লাখের মতো
eac6b4d058	a46e2	বহুজাতিক ব্যাংক এইচএসবিসি
eac713bd6e	a274b	ঢাকা সিটি কলেজ
eac7aaf32c	a8710	গোলের পর নেইমারের উদযাপন
eac973ba8a	16a17	উনিশ শতকে
eaca2351d3	430b2	জনগণ দীর্ঘকাল ধরেই
eaca4a80a8	e3d8b	জানেন না বলে
eaca99c842	1652d	ওর বাড়ি কুমিল্লা
eacac7d2c6	7f2ef	তার দম আটকে আসত
eacb06312f	2ecf8	আমাদেরকে সময় দিয়েছেন
eacc9ec2db	66c6b	হুমকি দিচ্ছিল
eaccb16414	e6752	মাহমুদুর রহমান
eacd27c3e9	b5fdc	আছড়াইয়া পড়িতেছে
eacdcd6cdd	bdfc1	ব্রিটেনবাসীরা গ্রহণ
eace794a16	590d0	ধুয়ে নিন
eacee87b17	2ac82	কিন্তু নিজ দেশের সরকার
eacf103c6c	880ae	আধাঘণ্টা ধরে
eacf136b3e	21e54	২০১৭ সাল থেকে
eacf81cedd	cb627	ওই বাড়িতে
eacf86ca06	23b22	পারে না সন্তান
eacf893c1f	f0f95	এক বস্তা ছাই
ead031e1ad	2d98b	এতকাল পুরুষেরা লিখেছেন
ead060202e	a06a1	চট্টগ্রাম বন্দরে অপেক্ষমান রেখেছে
ead06958a3	287bd	শুকনো মৌসুমের ব্যাপ্তি, উচ্চতা
ead094de74	3c897	সক্ষম হয়েছে
ead0ef97db	fbb81	লন্ডন
ead1413247	0c39f	পাল্টে হলো তাল
ead17a0bca	16877	পরবর্তীকালে ২০০৮ সালে
ead199ddca	932bb	প্রসঙ্গে এফডিসিরি মহাপরিচালক
ead2030b6c	ad2a0	এই দ্বিগুণ দাম
ead21e6542	0b7ca	যেকোন অপ্রীতিকর ঘটনা এড়াতে
ead2688bbf	e50f1	এসব দিকে
ead2719daa	e55de	1080p High-definition desktop wallpapers
ead2822518	72649	মরফিন নামক
ead295745b	ce180	বাংলাদেশের সরকার
ead2c06f79	256f5	চা বিস্কুটও না
ead2d3d9b7	e7230	এখন পর্যন্ত কোন ধ্বংসাবশেষ
ead384c62a	aabe7	রাতেই সেনাবাহিনী
ead3da196e	9282d	আমাদেরকে সময় দিয়েছেন
ead3ef0721	5639c	সাথে যুক্ত ছিলেন
ead404b50e	8632b	এর বাইরেও যুদ্ধ ছিল
ead4395d3d	0606d	প্রেস ফটোর প্রতিযোগিতায়
ead48c2d79	c1e30	আগে সমাজ
ead5216df2	6e8cb	বিচার শুরু করেন
ead5d2cd4c	33814	গার্মেন্টস শ্রমিকদের সঙ্গে
ead63e04a4	4f2ae	সেকালের প্রায় সকল
ead657714d	e2ba2	বাংলাদেশী নাগরিকরা বিদেশী পতাকা বহন করতে পারবেন না।
ead68bb3d4	b618b	বৈদেশিক
ead6c04465	d8c80	অতিরিক্ত পুলিশের
ead7398b5f	f6e55	এত ফল থাকতে
ead782e621	7b103	তাহারা বলিতেছে যে
ead7d31675	4dd57	খানিক আগেই বেরিয়েছে
ead7d3c427	ced74	বাংলাদেশ বালি সম্মেলনে
ead8bab3c6	6973e	এক নির্মিত সময়ের গর্ভে
ead957da0d	8143b	ব্রাজিলের তারকা ডিফেন্ডার
ead9d11914	dba43	এ সিদ্ধান্ত নেয়া হয়েছে
ead9e30c74	9813c	ক্রমে অন্যান্য নৌকার
eada103f08	25117	প্রধান সমুদ্র বন্দর
eada18a012	7b103	গণ আদালত হয়েছিলো
eada353a43	ec91c	আমাদিগকে ঐরূপ বিবিধ নির্যাতন
eada7df4ec	7b900	অংশগ্রহণ করাটাও
eadaacf22c	aabe7	ব্যবস্থা গ্রহণ করবে
eadaba09dc	38d3a	তার মৃত্যু হয়ে থাকতে পারে
eadb299052	7f2ef	কাজ করার সুযোগ করে দিয়েছিলেন
eadb2b8c4e	2aecc	অন্য সময়
eadb556a6c	09f0d	গ্রাম ছেড়ে
eadb891189	d82d9	কতটা ভালো লাগছে
eadbb79f07	c7705	সে কখনো রোমানাকে
eadca6c4f9	2ee04	বড়োই চঞ্চল হয়ে আছে
eadd85b606	2695f	মনে হয় একখানা পাব
eade2b88b6	1f974	এসএম স্টাইল
eade3611d8	82926	কিন্তু নদীতে ছিল কুমির
eadeeb7b3e	7c272	তো ছেলেপক্ষ দেখতে আইসা
eadefe4702	1b359	১৯.৪২% এবং ৯৯.১৩%
eadf348d9b	860f4	নিকারাগুয়া, বেলিজ সহ
eadf391d91	18460	দুবলায় পালিত হয়ে আসছে
eadf7d2dd8	355c1	একটি জরিপে
eadfb16642	4e900	এটা করলে সংবিধান
eae0352fe3	f1ea4	বিদ্যুৎ,জ্বালানি, অবকাঠামো
eae05c6342	80e98	বদলি হয়েছেন
eae05d70d3	7b103	খুব রেগে গেছে
eae070b3a0	9092b	ওয়াশিংটন থেকে
eae0998689	4bede	তখন সবকিছু
eae0abacf5	ad69a	৮ মার্চের ফাইনাল হবে
eae0bf015c	15a75	নজরুলের দেশে
eae0fa0d04	86b1b	নিয়ন্ত্রণ করছে
eae13a9807	b00ba	যত দূরে থাকা যায়
eae2a477c5	c3cca	সেলবাজার
eae2aba219	a9a58	দেশজুড়ে চলা সহিংসতায়
eae2fe7cea	c3cca	রাজধানী ঢাকার যাত্রাবাড়ী থানার
eae2ffa03b	0b7ca	আমাদের ধর্মের
eae33b5147	6973e	ভোটগ্রহণের ৪৮ ঘণ্টা আগে
eae4b5f426	1a4a9	কম্পিউটার থেকে
eae4f937cb	2ac82	তাদের মহাদেশ
eae50f7b3b	2ad74	আটক রেখে টাকা
eae56f307b	ee4ad	তুমি আমার মনের মানুষ
eae5b56d42	778c0	এটি স্টার্ট নেয়ার পর
eae60a3ab7	5dec6	ভাঙ্গতে চান
eae62492be	37e17	বিবিসি বাংলাকে তারা বলেছেন
eae632993c	eaa7a	উন্মুক্ত করে দেয়া হয়
eae67418ac	5d12f	সেনাবাহিনীর নিয়ন্ত্রণে আছি
eae6d915f8	7a227	এ রকম একটা সমাজের মধ্যে
eae6e896b8	c3cb3	সেখানে পাঠিয়েছে
eae73f33fa	f280a	নন্দীগ্রাম
eae7d2d38c	1b359	নিজেদের শোরুমগুলো
eae7d3598b	5cb47	কিন্তু বয়াতির
eae825e83a	9813c	ভাড়াটিয়ারা বিভিন্ন স্থানে
eae86356d4	21e54	বিআইডব্লিউটিএ-র চেয়ারম্যান
eae8d4eabd	9e923	তাহাও নিষিদ্ধ হইতেছে
eae8e774d0	3bea8	তখন লিন কেএমকে জানিয়েছিলেন
eae945e84b	28dfc	মন্তব্য করেন
eae999b9c3	4237e	বলছি না করবোই
eae9ba80bc	c0d65	নির্বাচিত প্রেসিডেন্ট মোহাম্মদ মুরসিকে
eaea197a0a	83c53	৩ এপ্রিল, ২০০৪
eaea8684f7	8ba2b	কৃষকদের কাছ থেকে
eaead8a25c	72649	বন্দীজীবনকেই বেছে নিলেন
eaeb27740b	d711f	সরাসরি সমর্থন দেয়নি
eaeb2ee758	9d398	গানের রেকর্ড
eaeb41ac2f	976b1	এবং দেখা ফিরে দেখা
eaebdbe047	b08d0	অনেক ভালো অবস্থায় রয়েছে
eaec47beb4	06736	কৃষ্ণ আদৌ মহাভারতে ছিলেন না
eaec4c9026	0606d	জাজ মাল্টিমিডিয়া
eaec5cb2b0	0606d	মার্কিন লেখিকা এবং নারীবাদী
eaec8d92d4	23291	অন্য ড্রাইভে করতে হবে
eaece46870	e6e48	অতিরিক্ত ঋণ নেয়ার কারণে
eaecff1cb3	06527	বিদ্যুতের উৎপাদন বাড়াতে
eaed2fb6af	28dfc	ইঁহার বাসস্থান গোলকধামে
eaed338ace	4486f	ওই ঘটনার পর
eaed3f42dc	03284	আর এই হতাশা থেকে
eaedab2a60	c2082	প্রত্যক্ষ এক বাস্তবতা হিসেবে
eaee0af81b	85430	তিনি ধীরে-ধীরে হয়ে উঠেন
eaee772e07	086dd	একটি তদন্ত কমিটি
eaef184540	6da0a	কী কারণ
eaef244edb	1e7c6	কাজের মেয়ে
eaef443663	3fce2	তালী থেকে প্রথম ফ্রান্সে আসে
eaef55ffad	92f59	কিছু সময়
eaef7a636e	66dcd	শীতের শিরশিরে অনুভূতি
eaef8ed1e4	2d78f	কথা বলতে পারে
eaefa296d5	4e900	নেমানিয়া ভিদিচের হেডে
eaefd9261f	66b3c	ভাতের থালা ফেলে দেন
eaf0579483	0696e	মন দোলে…মন দোলে
eaf06c4621	69449	ওর মনে হল
eaf0913b83	2de86	রাগ প্রকাশ পাচ্ছে
eaf0dcce1e	d9817	ব্যবহারকারী সর্বোচ্চ ৯ সেকেন্ড
eaf0f87e76	0f047	ওয়েইন রুনিকে
eaf115c23a	eecdd	তাঁর কোনো মুগ্ধতার কথা
eaf1516508	c9c19	পদ্মপাদ রচিত
eaf1ca762a	25117	নাক গলাতে এসো না
eaf20d9521	11de3	চলচ্চিত্র খাতের সংস্কার
eaf254032f	9d46f	রাত করে আড্ডা দিয়ে
eaf26f888e	6e6fa	পরে সেখানেও
eaf32939d1	d5f7b	আমাদিগের হিন্দু ধর্মকে
eaf32a210a	c7a89	ভালো কিছু দাঁড়িয়ে যাবে
eaf38e19b5	f1ff2	অবশেষে একটা বড়
eaf4f356c4	3bea8	মামলায় রাজশাহীর একটি আদালত অভিযুক্ত ডাক্তারের জামিন না মঞ্জুর করে তাকে কারাগারে পাঠায়।
eaf4f55853	b8bba	মুণ্ডু দেখতে
eaf5289748	5cb47	নতুন পণ্যটি সম্পর্কে
eaf54fe591	a916a	অষ্টাঙ্গিক মার্গের
eaf5986de4	e9fa7	ভোটার রয়েছেন ১৭ কোটি
eaf5a5aeb4	24f73	ভয়ংকর ভূতের গল্প
eaf5c52946	f600a	৬ই জানুয়ারী
eaf609f64d	5354e	দিল্লি থেকে বিক্রম সম্পদের
eaf62d1ae9	ba2f6	ব্যাপারটা তখনকার
eaf68fdee2	cb627	৫ লাখ টাকার জরিমানা
eaf6a30341	7027a	নকল ওষুধ তৈরি বন্ধ
eaf7060a5c	80539	সম্ভাবনা একেবারেই মুছে দেয়
eaf74ebd20	f29bf	বাংলার বৃষ্টি ইট, লোহা
eaf7dfa138	49543	ভ্রমণ করবার সময়
eaf7e4efce	33aef	শুরু হয় সাংস্কৃতিক অনুষ্ঠান
eaf86a01f1	aabe7	পরিবারের অন্যদের
eaf881b28c	f0f95	এখনকার ভাষায়
eaf88c77c6	43b04	বাদকেরা যাঁর যাঁর বাদ্য বাজাচ্ছেন
eaf893f054	31f09	বার্নিশ করে করে
eaf8b4fa82	8406e	কাতর হইতেন
eaf8c97c77	c41d8	বিষয়বস্তু নির্ধারণ করে
eaf8ce8110	7c272	২৯টি দল
eaf95f641c	06736	জাতীয় দলে
eaf9b331eb	d2355	উত্তরের বারান্দায় গিয়ে দাঁড়ালেন
eaf9c781e1	1e7c7	একটি বিশ্লেষণ থেকে
eafa92c579	13b70	এত আর কোন বাঙ্গালী
eafb469d60	8845d	অ্যাডিডাস জাবুলানি
eafb5018ac	b8ed8	আপনি মাপ করুন
eafba15f08	22096	সকলে তাহাকে
eafbd0ec04	4fbd1	লোকটার কাঁধে অচিন শালিক
eafbf62a9a	bc81e	বাজার ভারসাম্যে পৌছয়
eafc04a4cb	7e191	আট থেকে নয় টাকা
eafc0cd2ae	2ecf8	ভোটের লাইনে দাঁড়িয়েছিলেন
eafca943da	fbb81	ছিনতাই কাজেও লিপ্ত হয়
eafcdf3075	dba43	বার্সার একচেটিয়া আক্রমণের মাঝে
eafd65b757	967fd	চিকিৎসাবিজ্ঞানের ভাষায়
eafe3276ea	13b6a	শরাফ মামার কাছে
eafe796839	5dd61	সেক্ষেত্রে আইনের ভুল ব্যবহার
eaff038477	1c618	মেয়েরা ভীষণ পছন্দ করে
eaff06e99f	23291	প্রাণভরে সর্বাঙ্গ খামচালেন
eaff3b88b6	6ab59	অপরাজিতই থেকে যান তিনি
eaff48ec46	38d3a	সুট-টাই পরে
