ef0163c146	92bd8	সোনারং জোড়া
ef80a50693	e3d8b	কোনো সন্দেহ নেই
ef80c70d18	7aed9	ড. অনুপ ঘোষাল
ef81559fff	c5479	পাল্টা কথা
ef8185f414	7b132	প্রায় সব হয়েছে
ef82067079	1e7c7	সাংবাদিক সম্মেলনের মধ্য দিয়ে
ef825b4421	d41be	অদ্ভুত শব্দ
ef82b2cda4	25117	৯৬ পৃষ্ঠা সাংস্কৃতিক-অধ্যয়ন
ef831da7fe	ec91c	ব্যবসায়ী সাইফুর রহমানের কণ্ঠ
ef83241a49	4237e	মনোনয়নপত্র দাখিলের
ef8358702c	e9759	মেছুনী তাকে এমনি বকুনি দিত
ef83979bba	e03ce	বিলু কবীর
ef83a59921	0895a	পাতায় পাতায় কোণের দিকে
ef83d72d18	195f7	ক্লাবটি ৬৭৫ মিলিয়ন ডলার
ef84bf4402	287bd	চিঠি দেবে
ef84f185a3	7df87	সংখ্যাগরিষ্ঠতা পেলেও মোদিকে প্রধানমন্ত্রী হতে দেব না।
ef8508fdff	b618b	এক সময় সুযোগ বুঝে
ef85682167	c749e	যা গেমসের টিকিট
ef861b5c91	b00ba	গ্রন্থমেলার প্রবেশপথে
ef86412f8b	23291	অভাব ছিল না
ef868781bd	ee994	এগিয়ে আসছে
ef86bf9d7f	68ab7	নিশিতা
ef86c2d00e	06527	তবে তাঁর নাম
ef86d56198	e6e48	খ্রীষ্টীয় অষ্টম শতাব্দীর শেষ ভাবে
ef86ff7216	d9081	তথ্য
ef87108059	2695f	বলার চেষ্টা করছে
ef874003af	2bc73	কিশোরগঞ্জ
ef87953b84	2de86	উত্তেজিত, ক্রোধান্বিত
ef88200dec	2d98b	আবার না ঘটে
ef8849980f	616ec	সরকারকে নাজেহাল করার জন্য
ef88c10563	2ac82	তবে আমদানি নির্ভর
ef891a9409	0d9f1	নেপথ্যে আছেন
ef89486ff5	b78ec	এইসমস্যা দেখা যেতে পারে
ef89fcb91e	58998	মূল নাচের চর্চা শুরু
ef8a1e4db1	03284	এখানে দেখতে পেয়ে
ef8b7d3127	d41be	সার্বক্ষণিক অবস্থান করে
ef8c6a9b9f	3bea8	প্রভাব পড়েছিলো
ef8c738fef	a43b5	স্থানীয় জঙ্গিদের সমর্থনের কারণে
ef8c847dc8	d2faf	মুকেশ চন্দ্র বিশ্বাস
ef8c863e19	bcaa8	দ্রৌপদীর অদৃষ্টে যাহা ঘটিয়াছিল
ef8d0f880d	0895a	সোনাগুলো মোড়ানো ছিল
ef8d4c7421	6ee5f	তা হলো এ বিষয়ে
ef8dd290a1	536d9	না করার পরামর্শ দেন
ef8f56e25d	194f5	সম্পদ প্রাপ্তিতে প্রতিযোগিতা বাড়ে
ef8fd79859	5e80b	বিপুল সংখ্যক পুলিশ ও র‍্যাব সদস্যের পাশাপাশি মোতায়েন করা হয়েছে সীমান্তরক্ষী বাহিনী বা বিজিবির সদস্যদের।
ef8fe65b0c	59c73	বিভিন্ন পোশাক পরে
ef902b6aac	33aef	হত্যা করেছে
ef903e2d9b	5dd61	এর মধ্যে উদ্যোগ না নিলে
ef90d90916	b8bf0	বিয়ের গান
ef915cc2fe	7f71c	এরই মধ্যে দিয়েছেন ইংলাক
ef92049246	ac904	মীনা
ef92141cca	e00db	প্রতিষ্ঠানটি চালু করেন
ef9274da8b	93080	তুচ্ছ ঘটনাকে কেন্দ্র করে
ef92adc8ca	dafb6	চেন্নাই এক্সপ্রেস' নিয়ে
ef92bf0b37	3f875	ঘরে এল
ef930ccb7d	8edea	মনমোহন সিং
ef93623914	d41be	বলিউডের ‘হেট স্টোরি’র রুপকার
ef93d78ea4	121bd	স্বীকারোক্তি রেকর্ড সম্পর্কিত
ef94abd04a	4f2ae	নির্বাচিত হন মোদি
ef94ae0981	2bd99	আগুন ধরিয়ে দেয়
ef9562bb00	09f0d	কোনও ক্রটি নাই
ef9565dd1b	cfc65	ট্রাইব্যুনাল দু’পক্ষের বক্তব্য
ef95c8b296	43fc0	ভোটাধিকার ফিরিয়ে আনাই
ef95d059a4	cb1aa	লোক সংস্কৃতি এখন
ef96563a30	3f493	তিন দেশের তিনটি ব্যান্ডকে
ef96a3dbd8	1a2a1	পরিস্থিতি সামাল দিতে
ef96c696c8	47e8d	সব ব্যবস্থা করা হয়
ef96cecdb4	9f25e	সেনাসমর্থিত বিগত তত্ত্বাবধায়ক সরকারের সময়ে
ef9747c5f4	da6f0	এটা রীতিমতো উৎপাত
ef97a36c40	e03fc	তিনি বাঙালি
ef97c39ad2	1cb75	ওদিকে আনন্দবাজার পত্রিকা বলেছে
ef9863c749	42898	মন চাইল না
ef98a36f99	4f2ae	বর্তমান রাজনৈতিক প্রেক্ষাপটে
ef98c0be19	29d44	ঢাকা বাংলাদেশ প্রিমিয়ার লিগের
ef98c16e3e	c3cca	অন্তর্বর্তীকালীন প্রধানমন্ত্রী
ef98e8b693	c463d	সবাই দেখি শাস্তর পড়ছে
ef98ff3295	6e6fa	ব্যস্তসমস্ত লোকজন
ef997070c5	698a4	একজন বান্ধবীর বাসায়
ef99954636	c9c19	নিক্ষেপকারীরাই অধিক ঝাঁজের মুখে পড়েন
ef99db0b7d	e00db	থানায় নিয়ে আসে
ef9a282134	e6e48	ডিজিটাল বাংলাদেশ মানে কি
ef9a451964	430b2	সাক্ষরতার হার ৮৪%
ef9a47dc57	730c3	একটা কঠিন
ef9af2e0dc	82926	আলোচনায় বসুন
ef9b29a7e2	ee852	বুকে কফ জমায়
ef9b5a3d5b	ad050	টাংগাইল
ef9bbee785	28bb3	সিটিজেন ফোরাম নামে একটি সংগঠন
ef9bf6ffda	ced74	ধারনা করা হয়
ef9bfd3289	fbb81	নেতাকর্মী আহত হন
ef9c159a1f	46d49	তবে এত শক্তিশালী ঝড় আসছে
ef9c763125	75f18	আসলে সত্যি কথা কী
ef9cc10e17	cf82a	এ ধরনের ঘটনার বিষয়ে
ef9cc57c82	bf530	নৌকা বাইচ প্রতিযোগিতায়
ef9d6b27be	efc0d	সুষ্ঠু পরিকল্পনার মাধ্যমে
ef9d814c12	79b06	সংস্কৃতির সঙ্গে মিলেছে, মিশেছে
ef9dc1ae3a	7b60a	অন্যদিকে এফবিআই নিশ্চিত করছে
ef9dd44ad1	7b60a	সিনেমায় অভিনয় প্রসঙ্গে
ef9de6f256	420df	আসাদুজ্জামান নুর বলেন
ef9deec957	9fa90	অনেকদিন পরে
ef9eaad730	28dfc	সেই আগ্রহ থেকেই
ef9ef6e99e	616ec	এখন আবার সেটি
ef9f35a6fc	cfc65	ও অবহেলার কারণে মৃত্যুর
efa043f3f1	5e80b	তার রাজনৈতিক ক্যারিয়ারের
efa04892b0	af81d	যদিও এ নিয়ে
efa0c77d9f	b8bba	তারা বলছেন
efa0cb7e23	e6203	যারা এই কষ্টকর জীবনে
efa0cc9e98	dafb6	মডেল হয়ে
efa0e4c21a	194f5	সমুদ্র দেখতে পারিস
efa0f22036	d9081	ডেভিড বার্গম্যানকে
efa1858699	698ff	সরকারি সদরদপ্তরগুলো
efa1c94ada	6da0a	সর্বোচ্চ সম্মাননা
efa2403317	e55de	অন্য সময়
efa2c2f1d8	d3e06	তরুণীটি জনপ্রিয় অভিনেত্রী অপর্ণা
efa3828117	2d78f	ধাবিত হয়
efa3e42368	943de	ত্বকী মঞ্চ থেকে প্রকাশিত
efa4064b0f	7ec1c	লাঠিসহ মহিলা-পুরুষ ১০ জন
efa4d180e5	e9fa7	দাবি জানায়
efa64d1a29	ce629	রংপুর জেলা
efa65ee72f	e50f1	যদিও টিউমারটা ক্যানসার নয়
efa6a65066	aabe7	তাদের এখন পারামাণবিক শক্তি ও ক্ষমতা আছে।
efa70e827c	0f047	শাপলা
efa71cd85a	7ec1c	অথবা কারও কাছে
efa745c2e6	aa820	চাই সমন্বিত উদ্যোগ
efa7543a82	e2c11	উপজেলা নির্বাচন সামনে আছে
efa8262f62	e31e7	অভিনন্দন জানালে
efa85a0e25	5a61c	ঘিরে গড়ে ওঠা
efa909d034	9092b	ব্যবসার চিন্তা বাদ দিয়েছে
efa965ba92	18460	গত বছরের তুলনায় এ বছর
efa9d01a9a	3ccf1	মোটেই সহজ ছিল না
efa9f8fb9a	ce180	এবং শ্রমিকের মজুরি বাবদ
efaa037f0d	f1ff2	গত মার্চ মাস থেকে
efaa0f9c61	13b6a	পুনর্বাসন কেন্দ্র সিআরপিতে
efaa697092	e9fa7	মেয়াদ শেষ হওয়ার আগে
efaa9f8b18	7e1d5	তিনি ২৫ বছর পূর্ণ করবেন
efaae51920	616ec	দর্শক-শ্রোতারা শোনেননি
efab2b263c	4c555	রেলগাড়িতে, নৌকোয়
efab52c921	54e68	এত কষ্ট কেন ভালোবাসা?
efadadf700	ff1eb	১০ সাংবাদিক আহত হন
efae84efa4	c8f7f	চাঁদ পবিত্র
efaea19f75	194f5	এ জাতীয় ফুলের
efaeb0b73f	09f0d	গনভোটের মাধ্যমে
efaeb7fcfa	2840e	আজ শনিবার
efaeee5f80	2695f	এমনকি চিন্তায় ফেলেছে
efaeff2b13	0e637	রেখেছ কন্দর্প করিতে খেলা
efaf970a76	f0f95	এয়ার চিফ মার্শাল
efaffd8d5b	d41be	কায়রো থেকে
efb04511d7	c3cca	সরকারের সেবা সংক্রান্ত
efb06c55d3	1a4a9	দক্ষিণ অন্টারিও
efb0954248	f1240	এভাবে নির্বাচন দিলে
efb0a816e7	59c73	তারা কাজে লাগল
efb0d61b6c	60f77	পায়ের গোড়ালিকে
efb0eaeadc	e55de	আমি ফুলও চিনি না, পাতাও না
efb1368bbd	f2780	দলটির কেন্দ্রীয় নেতা
efb187ffa2	2aecc	ঘুর্ণিঝড় শুরু হয়ে যাবে
efb192be0d	28dfc	আজমত উল্লা খান
efb19a88c7	7e1d5	নারী ও শিশু বিষয়ক মন্ত্রণালয়ের
efb1a51771	d2294	নিহত অন্যদের মধ্যে
efb1dce8d3	3bea8	তবে ইংরেজির শিক্ষক হওয়ায়
efb1f18cc7	28bb3	সে কাজ করতে পেরেছে
efb229e094	46da4	বিজয়ে বীর প্রতীক
efb2a40425	6c6bf	তখন থেকেই ডাকটিকিট সংগ্রহ
efb2f21fa3	33814	হঠাৎ ঝরঝর করে
efb3107414	c0d65	রাজি নয় আজাদ
efb3230462	6973e	বিকালে তার মৃত্যু হয়
efb3a65762	f2780	চীনের একব্যক্তি ঘটিয়েছেন
efb41d1aa5	06736	উপপরিদর্শক রফিকুল ইসলাম
efb43b1914	fb4cb	অ্যালগরিদম সহজবোধ্য হবে
efb4bef4da	2556b	ভারতীয় গরুর বংশধর
efb5bb4d37	ea8fa	সাদির চুল এবং দাড়ি কামানো
efb6317057	d8c80	দেখাটাই হয়নি
efb66fa860	717bb	নাচ
efb704f9b5	2d78f	আমাদের জানতে হবে
efb74caeaa	2bc73	এই নরকাসুরবধ হইতে
efb782b53c	84145	সিদ্ধান্ত জানিয়ে দেয়
efb78954c5	dfefa	ছবি রয়েছে সেখানে
efb7c4541b	44322	সবচাইতে বড় গুণ হল
efb8092a4f	420df	সে একটা ঘোরের ভেতর থেকে
efb82ac658	b8bba	বাবুরচি লোক দিব্যি রাঁধে
efb8a05076	d0c70	তিন লাখেরও বেশি মানুষ
efb909b8cb	e6752	মনে করিনা
efb90ab83b	2ac82	মোবাইল ডায়ালার সফটওয়্যার
efb9849005	239f7	প্রায় প্রতিদিনই ঘটে
efbbda5e25	932bb	সামরিক আইন প্রয়োগের জন্য
efbcc37aa8	f7a7f	ব্যাপক অর্থে
efbd36f82c	9d398	ঠিক ফিরে আসে
efbd90006b	0a7a0	ঠিক বেরোনোর মুখে
efbdbf21ad	f0f95	সোহাগ গাজির জখমের কারণে
efbdff0f59	6973e	ঠিক বুঝতে পারি না
efbe2e582f	76329	ভালবাসার গান
efbe4f9ebd	93080	এবং কে কতটুকু লাভবান হবে
efbe52ba99	dba43	বাংলাদেশিদের লাইক বা হিটই বেশি
efbe965689	7e1d5	মাম্মু এতো চেটে
efbebbebf1	5dd61	যার ফলে আরও
efbf25e9e5	287bd	গণতন্ত্রের চর্চার পক্ষে নয়
efbf7210d4	4f2ae	বলে-কয়ে যেতে হলে
efbf7da86d	43fc0	এশিয়া কাপের পূর্বের ১১ আসরে
efbf7dedaf	b9122	এ কথা জানেন বলে
efbf8b68f3	7351e	বাংলাদেশ নৌ বাহিনীর পক্ষে
efbfce717d	6d129	খনন শুরু হয়ে
efc0570b91	bfac7	দেশে আমার এতটুকু হলেও
efc1066c61	f0f95	আমার বাসা থেকে বের হয়ে
efc13b6566	bcaa8	টেলিফিল্মসে অভিনয় করেছি
efc16372c1	b9a81	সমান ম্যাচে
efc17734c7	ff0fe	মিস্টার বসু রয় বলেন
efc1f06bbe	e8dde	বয়াতি নেই
efc22a4d73	e03fc	তারেক রহমান লেখাপড়া করেন
efc24a3c2d	25117	মা ব্যাপারটা জানতেন
efc273fcd3	4164f	উঠেই দাঁড়ায়নি
efc2b90ea5	9642e	নিজেদের অনুভূতি
efc2e5938e	c0d65	এই ঘটনা ঘটে
efc3501890	5d12f	অর্থ না হলে
efc377fc60	4fc91	ব্যক্তিগত কিছু ঈর্ষা-জনিত কারণে
efc4994c9b	c6848	জুস
efc4aa8050	d2294	নতুন এ পদ্ধতির বিরুদ্ধে
efc4ac23eb	ce180	বিশ্ব রেডর্ক করেছিলো
efc4cdf70f	f4ba7	মুনীর চৌধুরীর ভালোবাসায়
efc544671a	809cd	গণিতের এক জটিল
efc54d4bdf	c1e30	তাহার সঙ্গে
efc5ee998b	1652d	অনুষ্ঠানের মাঝামাঝি নাগাদ
efc638179e	ff0fe	শব্দটি থেকে
efc6520cd0	554fe	তারপর তিনি বলেছিলেন যে
efc6996b8e	ee7b2	মর্ম বুঝতে ও জানতে সহায়ক হবে
efc6bddbd1	58998	আবেদন করেছেন সুব্রত রায়
efc6d9b0fd	e3f89	কোথাও মেদ জমতে
efc7a44a20	2ecf8	শীর্ষ দল অস্ট্রেলিয়া
efc7f2e499	adf01	এবং একটি মন্দিরে
efc821456f	fdcba	আলিকে লক্ষ করে
efc8327a8e	c2082	মস্কো তাকে সাহায্য করছে
efc83c1030	38d3a	হুমায়ুন কবিরের
efc8aabccb	e6d83	কাঠটা আঙুলের সঙ্গে
efc8b08a08	43199	১৮ বছরের কারাবাসের পর
efc8b1c747	e50f1	তা তো নয়
efc8da3918	91dff	একজন ব্যক্তির
efc9404208	c3cca	শিশু সন্তান কোলে নিয়ে
efc9795996	73629	হাত দেয়
efc9b193d7	7b103	আর হোয়াইট চ্যাপেলের পাশেই
efca5b85a6	4c1eb	ঢাকা বিশ্ববিদ্যালয়ের চারুকলা অনুষদের লিচুতলায় উদীচী ঢাকা মহানগর সংসদের আয়োজনে অনুষ্ঠিত হয় বর্ষা উৎসব।
efca88a276	3bb15	না খাইলে দাঁত ওঠে না
efcb089e39	69449	অন্তর্ভূক্ত করেন
efcb47f397	92f59	সেটি ভবনের দ্বিতীয় তলায়
efcbd6a9a4	5354e	এই ছবিটি নির্মাণ করা হয়েছে
efcbe2fe87	b2a62	জনপ্রিয় চলচ্চিত্র
efcbf6d736	0e637	নুরুল হাসানের শতকের ওপর
efcc3161fa	42898	এবং চন্দ্র পৃষ্টে অবতরণকারী
efcc7e2780	21e54	কিনতে হচ্ছে
efccb71295	57d54	শুদ্ধ সুন্দর
efcd8009b6	0e637	সিরিয়াতে গত ৩০ মাসের সংঘাতে
efcd8129d1	e7230	কেজরিওয়ালের অরেকটি গুরুত্বপূর্ণ উপলব্ধি হল
efce6c1c2b	0a87a	মঙ্গলবার উপজেলা
efceb582e4	a4750	এদেশের শিক্ষা ব্যবস্থা
efceeb9560	acb88	আর নাই আটকাক
efceebe2c9	bd576	যেগুলো কোনো ধরনের
efceffe401	29d44	অভ্যন্তরীন উৎপাদনেও
efcf66fa94	fcc89	নিজেরাও জানে না
efd0189fbb	d2294	আত্মবিশ্বাসী আনচেলত্তি
efd0338e0b	9092b	অনুরোধ করছি'
efd03bf8f4	69d9a	করোটি যাঁর
efd061b8b8	11915	৩০০ ডিগ্রি সেলসিয়াসের
efd0a2ae72	3fc9d	একটি গণপরিবহনে চেপেই
efd2023250	e50f1	মেজর জিয়ার আবির্ভাব
efd23c6e58	520fb	একাধিক মামলা
efd24a20e7	e9759	দুহাত মেলে মেসির উদযাপন
efd33a8a81	dec2d	ক্রিসমাস ট্রি অ্যান্ড বেল
efd44168e9	ce180	বহুদিন পরে বঁধুয়া আইলে
efd45ecc18	86b1b	এই আইন কার্যকর ছিলনা
efd4814bed	880ae	ছাড়ের জন্য
efd48bcc2d	da6f0	হাউরাকি উপসাগরের
efd4c8f942	9092b	আমাদের বোন নন
efd506b655	8845d	এখন সবকিছু
efd570fdf4	80518	দ্রুত তৈরি করে নিন
efd596d298	e31e7	নয় পয়েন্ট নিয়ে
efd63cfff3	b08d0	বিকেএমইএ এক বিবৃতিতে বলেছে
efd6f80551	f1ff2	নৌকা প্রতীক নিয়ে
efd7c3df5b	3bea8	বিবিসির লুইস হিডালগো
efd89000c7	aa820	সে সময় ছিল লন্ডনের সবচেয়ে
efd8c27805	767ff	এবার ক্লাবের সংখ্যা
efd9969876	65e30	৩ বছর আগেই
efda0e0fd6	321b6	সরকার অনেক চেষ্টা করছে
efda0ee980	2f547	জুলিয়েট মারা গেছে
efda1d2e85	24f73	গাঁথিয়া দিয়াছি
efda27230b	75626	সংলাপে কোন আপত্তি নেই
efdb590f3b	1a2a1	নিহত এই কিশোরির ছবি গণমাধ্যমে প্রকাশিত হওয়ার পর এর তীব্র প্রতিক্রিয়া হয় বাংলাদেশে।
efdb830728	404ee	চার্জ বোঝাবার
efdc243cc1	f2780	জুটিবদ্ধ হয়ে
efdc609f8a	23291	এক কানাডিয়ান নারীকে
efdc7c682e	860f4	আসিবেন দয়া করে হাসিমুখে লয়ে
efdd0366ec	bf530	৪হাজার ৫শ’ টাকার মধ্যে
efdd577daf	7d004	আজ ৪৯ জন
efdd8b65b4	7e1d5	অনেক বিখ্যাত
efdda8bc64	cd3ac	আটকা পড়েন দুজনই
efde159bd5	693cb	সংলাপে বসতে
efde1d6e5a	47e8d	শুরু হয় স্বরচিত
efde920045	ef4f8	জড়িত নয়
efdee23dd3	fb4cb	আদিবাসী জনগণের নিরাপত্তার জন্য
efdef706c2	91ac1	সে কারণেই হয়তো
efdf27a858	3fce2	সুকান্ত এত খ্যাতি অর্জন করলেন
efdf3ffe5a	72649	অভিনয় করেছেন চাওয়া পাওয়া
efdf568da6	17ca1	অর্থসূচক
efe02dbdca	23291	ক্রেস্ট, সনদপত্র
efe03534f8	d2355	শরিক হবেন
efe05dbc8b	28dfc	কি করি
efe0f7d32b	7f71c	ভালবাসা
efe17af414	9b864	চরিত্রগুলোর নাম
efe1b20191	410fa	রাস্তার মোড়ে
efe1eba5cf	4237e	মেয়েটি অসুস্থ হওয়ার খবর পেয়ে
efe21010d2	52578	এভাবেই এক সময়
efe2798fd2	21e54	থামতে হয়
efe2a493fd	9351a	সে আর মাড়াবে না
efe2cfcc5e	2d78f	বিপত্তি ঘটতেই পারে
efe2f2774f	2d98b	একজন ক্রীড়া সাংবাদিক
efe3168bb3	f143a	এশিয়ার উন্নয়নচিত্রের পূর্বাভাস নিয়ে
efe3251e42	b8bdd	হৃদয়ে ধারণ করে
efe3760c60	c2082	আপনার তো
efe39c9e08	57d54	নির্বাহিত হইয়াছিল
efe3d0fb0e	e3d8b	আগের ম্যাচে দক্ষিণ কোরিয়াকে ১-০ গোলে পরাজিত করেছিল ইরান।
efe3db6309	9c8dd	সেদিকে লক্ষ্য রাখা বাঞ্ছনীয়
efe50a19c5	903fa	কিন্তু অধিকার
efe53ce2c8	eb179	ভুটানের আছে
efe5a98425	6fb36	কাঁধে না করিলে
efe5ca19e7	29d44	অনুপ্রেরণা পেয়ে
efe5d49dd4	53396	অনুশীলন দ্বারা
efe5d755d2	b9b98	অমিয় চক্রবর্তীকে
efe693c8b4	eaa7a	সেনাশাসন চলেছে
efe6ff10b4	91223	এই অলস টাকা
efe7183e32	5dd61	আর সেগুলোর ভেতর থেকে
efe71f61dd	59c73	সাংবাদিকদের অভিযোগের ভিত্তিতে
efe76894eb	4237e	পার্সেলের নিয়ে
efe78b2d9d	e2ba2	তথ্য নিশ্চিত করেছেন
efe7afa445	39dd0	আচমকা পথ আটকে
efe7c412c4	09f0d	অবকাশে এনেছিলেন
efe8405d10	d0c70	দুদক উপপরিচালক মো. নাসির উদ্দিন
efe851e416	7f71c	ঢাকায় নিয়ে
efe8ce86d8	4e900	অবস্থান নিয়েছেন
efe9199977	8ba2b	৫০০ টাকা দিবি
efe9357e2c	49d63	সেসবে কর্ণপাতের সময় ছিল না
efe96636c9	e2c11	আনিছুর রহমান জানান
efe9778e1c	64092	এদের নাম ‘Kopje’ অর্থাত্‍
efe9d66895	e7230	তাতে চুলের গোড়া
efea12bee2	bdfc1	আমরা আলোচনার জন্য প্রস্তুত আছি
efea2d260a	d9817	অমেধাবী লোকেরা ছবি বানাচ্ছে
efea2ddf91	420df	যদি আমি আপনার
efea4467ed	d5213	সাংবাদিকদের কাছে
efea513af9	c463d	এর স্থায়িত্ব
efea669133	d2d71	তেলাপোকা
efea824cf3	a3a6d	প্রত্যক্ষ ও পরোক্ষভাবে ক্ষতিগ্রস্তরা
efeaaa7c8f	93080	সীমান্তে আরও
efeaad7b2a	4e900	নিতে হচ্ছে ভোক্তাদের
efeac3fc52	bcaa8	দমদমে নেমেই
efeaf9c314	ee4ad	শেষে এক জায়গায় গেলাম
efeb1adfc6	c9c19	তাদের নিয়ে ছড়ানো বিভ্রান্তি
efeb20de60	7c272	সচল রাখা
efeb676d34	2de86	ছোটদা ঘরের থামে
efebaf7833	aa820	তার বাবার দোকানে
efebe1da5a	85430	সংগীতের দল গঠন করেন
efebf15da3	ce629	জামায়াতে ইসলামী
efebf7da0d	4bede	অন্যদিকে সুপার টেনের
efec1e83d7	d5213	গায়ানার জর্জটাউনে বুধবার সকালে
efecac65e1	717bb	এরপর তোরা কোত্থেকে জল খাস
efecec9a97	93bf3	আমরা এর তীব্র প্রতিবাদ করি
efed0540ff	d5f7b	চুল রুক্ষ হয়ে গেলেও
efed8098f6	33814	কথোপকথন চালায়
efed80a3da	66dcd	দেশের প্রথম কোনো
efeded0086	f0f95	ধীরে ধীরে সূচনা করে
efeedf55d2	153c9	৭ মার্চ এর ভাষণ
efef6368bd	5639c	এ ধরনের তথ্য
efef8db06f	4e900	মি. স্টলটেনবার্গ বলছেন
efefa81611	93bf3	শুক্রবার তাদের ট্রেনে করে
efefc2c4c7	c9c19	সবচেয়ে উজ্জ্বল হয়ে ধরা দিয়েছ
efefe64743	0696e	মৃত্যুর মতো শূন্য
efefea90bc	809cd	তা ছাড়া এসব
eff01d30ce	86b1b	তারা চিন্তিত নন
eff085864d	3fce2	যারা কাজ করছে
eff0d02e28	b9a81	কারা কর্তৃপক্ষ
eff16df8a5	47e8d	প্রয়োজন ছিল
eff17a42ea	06527	কারেন্ট চলে গেল
eff2ef9599	f1240	গঠিত হয়েছে
eff35d28c2	3faff	এদিকে, সিরিয়া সংকটে
eff36c051f	7ee9b	ফিসারী
eff3b56ccc	a7c6f	মেক্সিকানদের আত্মপরিচয়
eff3cf001a	430b2	সেনা অভিযানের পক্ষে যুক্তি দিয়ে
eff3d1eadf	a06a1	ভাঙচুর, অগ্নিসংযোগ, মদ
eff3ed0490	8632b	সুবহান সেক্রেটারির দায়িত্ব পালন করেন
eff58eedb5	37d7e	উপসর্গগুলো দেখা যায়
eff5c96056	ce180	জাতীয় পরিসংখ্যানের থেকেও অত্যাচার-নির্যাতনের আসল সংখ্যাটা আরও বেশী।
eff61459fa	2fe3c	আরেক সাড়া জাগানো
eff66f547f	75626	শিবসাগর জেলায়
eff6a7e7b0	db735	মাটিতে আছড়ে পড়ে
eff6c291f3	616ec	আসা যাওয়ার টিকিট
eff6e80477	76329	তলোয়ার
eff6f3f456	6dff5	পরিচালনা করেন
eff73b0ba9	24aed	গুঞ্জন উঠেছিল
eff78a2c0f	e68af	মিডল্যান্ড ব্যাংক লিমিটেডের
eff802c471	4bd2c	এক দফা দাম
eff8b3309d	9c8dd	এই অগ্নিকান্ডের ঘটনায়
eff8c82513	d5f7b	ক্রাইমিয়াতে যে গণভোট হয়েছে
eff8c8ff83	1a2a1	দুপুর ১টার দিকে
eff9bf17e2	65652	পাহাড়সম সম্পদ
effa829bcc	23291	পররাষ্ট্রমন্ত্রী কিশিদা
effb4eb0c1	1a2a1	যিনি নিজে দাঙ্গার চক্রী
effb66d08f	75936	হার্ডডিস্ক ক্র্যাশ করা
effb717051	c9c19	দোকানের হিসেবের খাতাগুলো
effb7fbd29	ce629	কান্ধের মাছ
effc132fb6	536d9	জাতীয় নির্বাচনের বছর অনুষ্ঠিত
effc2ed749	11bd2	মানুষ এসে পৌঁছলো
effc402a48	56508	ওঁরা একসঙ্গে, এক মেয়ের
effce31465	88654	নিবেদিতাও ছিলেন
effd3498d0	ce775	গলাকাটা লাশ
effe1dc703	0d9f1	তিনি কথা বলছেন
effe82abaa	5dec6	ভীষণ তার ডাকে
effecd3d0f	9813c	গ্রামের বাড়ি নারায়ণগঞ্জে
efff61add0	0a7a0	এ তো রীতিমত
efff862c55	54e68	বর্তমানে তিনি বিএনপি চেয়ারপার্সনের অন্যতম উপদেষ্টা।
efffa011ef	4f2ae	আন্তর্জাতিক ট্রেড ইউনিয়ন ফেডারেশন
efffe445f9	6e6fa	প্রধান চরিত্রও এই রবার্ট ল্যাংডন
efffe45263	717bb	ঘরবন্দি থাকতে হচ্ছে
efffec0486	49543	বিষয়ভিত্তিক ভালো প্রস্তুতির পাশাপাশি
