f400024bcd	6a35e	তবু আমি তো
f400afe732	e31e7	কিছু আশা কিছু ভালোবাসা ছবিটি
f400b46749	b08d0	বিবিসি তার বর্হিসম্প্রচার বিভাগের
f400cd0f94	943de	তাকে ডিজিএফআই এর কাছে
f400d1fa6a	d136b	কাজ শেষ হবে
f400fba3df	7df87	এখন সমঝোতার সুযোগ রয়েছে
f400fc74e4	4c555	কিছুক্ষণ পরপর
f40140fe44	57d54	এই গর্ত সেই গর্ত
f40159676e	4bede	শোবিজ জগতে প্রবেশ করে
f40191dd2c	22096	ভাইরে সুবল
f401b5237c	8632b	টর্চের ব্যাটারির তেজ
f401ff1da3	7d004	তারা রাজাকারদের
f402332884	0b7ca	অর্থনীতির সমালোচনার
f402d7d2ff	1b359	ঠুমরী ও বাঈজী
f4043180c9	b8ed8	মন্ত্রীদের মুখের
f4043e2b2e	35ef3	কন্যা সন্তান জন্ম নেয়
f405a735d1	f280a	মন্তব্য করেন তিনি
f405c70dc7	64092	প্রভাতী গান গাহিবে
f405d12b4b	57d54	রেললাইনের ফিসপ্লেট খুলে ফেলায়
f406053126	0f047	চলমান স্বৈরাচারবিরোধী আন্দোলনে
f406b1fa47	9813c	বাংলাদেশ এবং ইন্দোনেশিয়ার
f4074a7ab3	ce629	বাংলাদেশের তৈরি পোশাক শিল্পে
f40759803d	b8bba	কোন কাজ করতে
f4075a174d	91ac1	এবং ভেষজ ঔষধ
f4078684da	e3d8b	রোমানা মফস্বলে
f407cd2246	66dcd	জন লুইসের নিজের শৈশবও কেটেছে
f407f08f90	f29bf	আমার বাকল ফুঁড়ে
f4080470c9	f2097	ইসরায়েলি প্রধানমন্ত্রী বেনিয়ামিন নেতানিয়াহু
f4080dc1b2	10a9f	আমি যে সর্বনাশী
f4083fcb61	2695f	চুল কাটা
f40842133c	cb842	আশঙ্কার কথাই জানালেন
f4096065a5	f2b7d	ব্যাট করে ২৪৩ রানে
f40b6a6f1f	e9fa7	৬২ হাজার মার্কিন ডলারের
f40bca67ee	68549	একজন করে
f40c0b1769	7027a	লুঙ্গি আর পুরোনো শার্ট পরে
f40cac3242	d711f	লুঠতরাজ-খুন-ধর্ষণের পক্ষে
f40cbde642	a9a58	যেত সব তথ্য
f40cd1f050	ee7b2	এখনই আনুষ্ঠানিক
f40cd5527b	53396	নিজেকে সমর্পণ করেছিল
f40d6a63fb	745b7	একে অন্যের প্রেমে
f40d8001e2	5dd61	হেরোডোটাসের বর্ণনায়
f40dbebd14	5a61c	যার মূল্য প্রায়
f40e1e6cda	49543	ভারী অস্ত্রের নির্বিচার আঘাতে
f40e44f24c	66dcd	মুষ্টিমেয় কয়েকজন ভদ্রলোকের
f40f6cbe20	a0277	চারিদিকে মণি-মাণিক্য
f40fd3f8c8	e6752	ঘন করার জন্য
f40fe5f8ac	d2d71	দেশের বিভিন্ন আন্দোলনে
f4103611e6	33814	কিছুদিন আগেই
f41036b1d7	f0f95	মোচা ভুলিয়া কেলা কা ফুল
f410c2c40e	80be1	নদী তো দূরের কথা
f410dceefa	0d4cb	সদস্য হওয়া যায়
f411c253c7	7e1d5	বৃষ্টি হয়েছিল কি রাতে
f411c8606d	ec91c	এ কথা বলিতে সাহসী হই
f4121edc32	880ae	বাগদাদের খলিফা
f4133b5aa8	7d3e1	গতকাল বৃহস্পতিবার তাকে
f4134c7319	e7230	নির্বাচন কমিশনকে
f413737b1b	ee4ad	প্রতিটি বইয়েই দেখা যাচ্ছে
f414766cdd	6973e	সমস্যা ছিল ভিন্নরকম
f414c2231b	355c1	বিমানের ফ্লাইটে ওই পশুটাকে
f414e95924	68549	আজ বাংলাদেশের জন্যে অত্যন্ত খুশির দিন।
f4155286c7	ced74	কোন দায়িত্বের পরিচয় দেননি
f41591b1c2	9065c	বোমান ইরানি
f415cc6502	aabe7	কমে যাওয়ার কারণে
f416113d36	7b900	দরকার শক্তিশালী এবং স্বাধীন
f4164c776d	d9081	অপূর্ব সুষমামণ্ডিত চিত্রধারার অঙ্গনটি
f4174ec7b1	ea8fa	তার ভূমিকা
f4176f8fdc	698ff	অনেক সাধনার পরে আমি পেলাম তোমার মন
f417f5f272	4f2ae	ডিয়ান্দ্রা ডোটিন
f4180cbb93	31f09	কোরান হাদিসও
f41857f85f	efc0d	তিনি পলাতক
f4187892ee	c7705	ছোলা
f418cd74f4	29bab	দলের নীতি নির্ধারকরা
f418dac168	7027a	রোববার পর্ব সমাপনী পরীক্ষা চলাকালে
f418df0555	d2294	ওন্টারিও প্রদেশের
f418fff6b9	239f7	নিপীড়ক গাদ্দাফির শাসনের অধীনে
f4192c099a	93bf3	সম্পূর্ণ বোধগম্য নয়
f4192e022a	66dcd	আমার গায়ের রক্ত
f4193c15e5	05901	অনেক বেশি সময়
f4198f46f7	53396	খুব চলিতে পারিত
f419a40c0e	967fd	আটলান্টিসের নগরগুলোকে
f41a121291	7b900	আমের মোরব্বা রেসিপি
f41a34b2e2	f1ff2	মরণপণ যুদ্ধে নামা
f41b28aefb	4fd66	চকবাজার থানার কনস্টেবল সাইদুর রহমান
f41b507a0f	590d0	তার মাথার উপর
f41d7d7441	c173f	সবাই তাকেই চেনে
f41dadec04	d9081	দলীয় শৃঙ্খলা ভঙ্গের কারণে
f41db1e821	e2f12	এবং যারা মসজিদ বানাতে চান
f41dcdbe91	e3d8b	খুব একটা বড় হয়না
f41e00ac11	cd3ac	আল-কুরআন
f41e48b46d	3b1f7	অপর আসামী
f41e5b4a13	6973e	মুক্ত বাণিজ্য অঞ্চল
f41e70b465	d2faf	বাড়তি পয়সা দিতে
f41ea6c590	2ac82	ধূমকেতুর পাশেই রয়েছে
f41eb75f9d	a699c	মাথায় স্বাভাবিকভাবে
f41efb3537	11bd2	পরে হয়েছে অক্ষর বা বর্ণ
f41f6cfc69	0d8c1	কারও নাকের তলায়
f41f802eee	e03ce	বাংলাদেশের কারখানাগুলোকে
f41ffece5c	e6752	দূর-দূরান্ত থেকে
f4203fca46	28dfc	রাহুলের মতো তার বাবার নামও
f4204d4311	f6e55	বিশেষভাবে সে দেশে
f4205701a7	16cfb	যদি এড়িয়ে চলার
f420e90d5d	bd576	অনিচ্ছাকৃত খুনের
f420f3a1e5	e754e	তেমনি একটি বাহুতে
f421002193	1a4a9	সংশ্লিষ্ট থানা ও হোটেলের মিডিয়া
f42125f0b6	ee852	যুগ্ম মহাসচিব
f421682011	83c53	নারায়ণগঞ্জে বিভিন্ন স্থানে
f421bc4e56	a8710	২০০৯ এবং ২০১০ সালে
f4223edfa5	d2355	উত্তর গোলার্ধের
f422bced19	8cf95	চাকরি চাই
f4232fedec	d2faf	ভাড়া পাচ্ছি
f4235d8ef2	2bc73	একজন হিসেবে
f423983d6b	ff0fe	কোনো অভিযোগই প্রমাণ করতে
f423b07b10	dec2d	এত সহজে মৃত্যুকে
f423fdc96a	b00ba	বিভারা নেই
f424b08b4a	53396	এখনও শোনা যায়নি
f424ec6366	2aecc	দীর্ঘ লাইন
f425b41054	60b9d	প্রতিনিধিত্ব করেন
f425e3facb	2ee04	সৃষ্টি করি কী প্রকারে
f425e4a6ef	0f047	আমি শিল্পকলা একাডেমীর
f4265e1076	29d44	সেক্স, বিয়ে, এসব তো
f42660f6b7	f2b7d	মো. মোস্তাফিজুর রহমান বলেন
f426c6d8bd	f143a	বুবু
f426cc684f	c2082	এবং পরবর্তীতে
f426d42785	d711f	দু’টি সংশোধনী আনলে
f426e6daee	6da0a	অস্ট্রেলীয় কর্তৃপক্ষ
f426ef3ec0	f1ff2	একটি যুদ্ধ জাহাজ
f4278da031	7d133	সবাই ভাবল
f427acc6d7	ced74	সবশেষে বেলালের মরদে
f427c7bfe2	6aac8	ভিন্নমত প্রকাশের সুযোগ
f427e7e312	7b60a	যেন তাদের দেওয়া হয়
f4287f8b5b	7027a	ঘোড়ার মাংসের অস্তিত্ব
f4288528b1	5d12f	আপনার ছবি কে কিনল
f429651cb6	a06a1	বাবা-মায়ের সঙ্গে
f429891280	3c897	চার্জ গঠনের শুরু থেকেই
f429eaa5fc	9fa90	বিশেষ ক্ষতি হবে না
f42a3a1778	16cfb	হরতালে নেই পিকেটিং
f42a655601	351dd	অর্থনীতি, আজটেক শিল্প নৃতত্ত্ববিদ্যা
f42ae374a5	f4ba7	দানি আলভেজ
f42ae4c661	43199	নৌকায় উঠিলে
f42b7f9353	cb1aa	তারা কিঞ্চিৎ হলেও
f42bff5119	ee886	ক্লাসমেটও ছিলেন
f42c0525e3	21e54	তখন ত ভারি একটা ছুটোছুটি
f42c87d5f8	1c618	মুদীর পয়সা
f42ccdff8e	13b6a	বেলুনওয়ালা আসতেই হৃদয়
f42cfcf1b1	b8bba	সময় কাটছিল
f42d4da4a4	91dff	জেফ ডিলান
f42dcf80f1	4fbd1	তাঁর পাঠানো আপেল
f42e1c7eec	7aed9	প্রচণ্ডভাবেপ্রহার করে পুলিশে দেয়
f42e31ffd4	b8fe1	ডিপ্লোমা ইন সিভিল
f42efa8d30	b8fe1	কোথা হইতে জানিলেন
f42f4fc104	976b1	সাধনা
f42f795573	7a227	নাকি হবে
f42fa429b4	880ae	টিভি সাংবাদিক দিয়েই
f42fb119e7	92bb2	এবং রাজনীতিতে
f4303a5a2e	d2294	গত বছরের ৫ সেপ্টেম্বর
f430b4dec5	ef4f8	এ থেকে শিক্ষা নেওয়া উচিৎ
f430b983ae	d82d9	দুর্ভোগ বাড়িয়ে দিচ্ছেন
f430d71419	c7a89	শিশুদের ভিটামিন ‘এ’ ক্যাপসুল
f4310dce4f	3ec4d	তোমাকে পাইনি আজো
f4313bdc3b	8cf95	এটি উপজেলা পরিষদ নির্বাচন
f43142cbfe	ea8fa	তখন আর্জেন্টিনা-ব্রাজিলের পতাকায়
f431685b99	68ab7	নির্বাচন চেয়ে
f4319b7020	e03fc	ওই অভিযানে
f431b28079	d9081	জনসংখ্যা হল ৯৯৬২ জন
f431d1c6e6	80be1	মুক্তি পাওয়া যায়
f431d5867c	315e9	ও বিছানায়
f43221c955	e43d4	তারা প্রদর্শন করে না
f4326f2c80	274ee	তারপর আমার শান্তি
f432fdcb3b	64092	কর্কট রাশি
f43347bff4	c4973	অভিনব কল্পনাশক্তি প্রয়োগ করে
f4335ed817	b00ba	ধারালো দাঁতগুলো
f4339a1e1e	66c6b	অভিজ্ঞ বাঁহাতি স্পিনার
f43467ef25	9b864	র‌্যাব ও পুলিশ
f434a43ac1	e8dde	উপরন্তু তারা আমাদের সামাজিক অঙ্গনের
f4352a4de9	29d44	দায়িত্ব পালন করবেন
f435556fa2	239f7	নতুন রূপের
f435cf99d2	698ff	৯১টি উপজেলায়
f4362007d9	5dd61	বাংলাদেশের দক্ষিণ পূর্বাঞ্চল
f436249b5e	778c0	কার কথা সত্য
f4362c1db6	ff970	মিশ্র গ্রন্থি
f43651d2fc	fdcba	কিছু করতে পারেনি
f43727f232	c9c19	শুনতে পাবেন শ্রোতারা
f4376da13c	6c17f	১১ কেভি লাইনে
f4377dd210	f6e55	ধুম পড়ে যায়
f43790535b	75936	তাঁহার পূর্বে
f437d2b77d	eecdd	প্রথম দিন থেকে
f437e1f5ad	0895a	ওখানেই ফরাসী মিশনারি স্কুলে পড়াশোনা
f43804fb00	f280a	পুলিশি তৎপরতা
f43818508b	f7a7f	দেশটির প্রেসিডেন্ট হিসেবে
f438253b7a	b2a62	বিয়ে কথা
f43867310e	e03fc	১৯৩০ সালের আগ পর্যন্ত
f43886f782	7027a	দুপুর বেলার অক্ত
f438a5dc4a	3faff	আদালতে এই শুনানিতে
f438da0b42	79b06	গোলমরিচ আধা চা-চামচ
f4393ea418	28dfc	দুই হাত শূন্যে তুলে
f43952d008	717bb	বেশির ভাগই সম্প্রতি
f439f3d4fe	dec2d	তাতে গণপরিবহন এবং পর্যটনকেন্দ্রগুলিতে
f43a25e82e	7898e	আর টিকফা চুক্তির ব্যাপারে
f43ac9fe90	71522	ভাতের বাসন
f43b11edd4	0d9f1	আমার দেশ অনলাইন
f43b5d680e	91ac1	মূলত প্রবাসীদের পাঠানো
f43ba6d4a6	e03ce	সুতরাং আর বসে থাকার
f43cb91740	6ee5f	সুনির্দিষ্ট কী অভিযোগ রয়েছে
f43d1aba05	3fc9d	ইংরেজীতে প্রথম উপন্যাস সম্ভবত
f43dfb12ba	fbb81	তাই সেই জায়গাটা
f43dfbd33b	6b437	অবতীর্ণ মনে করিলে
f43f89e40f	4c1eb	দুদল সংলাপে বসা জরুরি
f43f8a2175	7ee9b	অরুণাচল প্রদেশের
f43fb53d56	86b1b	গাজিয়াবাদের যশোদা হাসপাতালে
f43fb84017	eaa7a	মো. আবুল কাসেমের কাছে
f440282b20	d41be	মন্নাননগরের পশ্চিমে
f4404c7558	75936	দু’গাল ফুলে থাকে পানে
f4408bc3e5	29089	আর কেউ নন
f440ca37af	f6e55	তা নিয়ে সাধারণ মানুষের মাঝে
f4412938eb	778c0	আর্থিক সঙ্কটে পরিচিত কারো সাহায্য পাবেন।
f441a452c1	1de6c	এ সময় আসামিদের আইনজীবীরা
f443465cf7	14816	সদস্য এখানে মূল বিষয় না
f4438a394d	ad2a0	পুলিশের গুলিতে মারা যায়
f443c4d852	e2ba2	ব্যাপক ব্যবহার নিশ্চিত করেছি
f4444fc326	1b359	দুটো প্রস্তুতি ম্যাচেই জেতার
f444ca3788	6dff5	আবৃত্তি ও নৃত্য
f445ad584a	321b6	ইচ্ছে মতো পানি যোগ করে
f445e30902	16cfb	তার চেয়ে বেশি উচ্চতার হলে
f44617aff5	4c555	যদিও অনেক নেতাকর্মীর গুম
f4469fba4d	1b359	ফোক ধারার গান করেছেন
f446c0ab1d	943de	এমন কোনো বাধ্যবাধকতা
f4479b1692	086dd	দাঁড় টানিতে টানিতে ক্লান্ত হইয়া
f447bc5247	57d54	সংসার কীভাবে চলবে
f447e63e3d	69449	এই জয়ে
f4481a0dc5	509f6	মানুষকে আলোকিত করার গান
f4489835e5	d3e06	মৃতদেহ নেওয়া হবে
f4489dfd46	698ff	কৃষ্ণচরিত্র-ঘটিত কোন কথাই
f4492c9291	dafb6	সুকান্ত তো দেখছি চিরকিশোর
f449c8692d	53396	নয়ন আলীকে
f44a291809	83c53	ও আম্মুর জন্য
f44a9099fd	f658d	ভেতরের শক্তিকে
f44ad4e28c	fd880	৫ জন নিহত হয়েছেন
f44ad9fbfa	932bb	যেমন ওয়াকওভারে জিতে আসার
f44b1e38c2	0a87a	নিষেধাজ্ঞা ছিল
f44b38e43c	e2ff7	বুড়ো ক্যাপুলেট
f44b6dd0ab	84145	প্রকাশ করা হয়নি
f44ba033bf	a4750	ও নার্সিং কলেজ চালু হলো
f44c81b0cc	698a4	ছুঁড়ে ফেলে দিত
f44cad1437	af81d	আমার বাবা ওদেরকে বলতেন
f44cc668cd	6ee5f	কে-বা দেবে জল
f44cd6e9d2	0bace	তা নিশ্চিত করা
f44d0d20e4	e89bb	ঝুমার বিভিন্ন স্থানে যাওয়ার ক্ষেত্রে
f44d2864f1	7ec1c	তেল-গ্যাস-কয়লা প্রভৃতি
f44d2a0a5e	4237e	একসময়কার সক্ষম আজাদ
f44d439466	39dd0	বিফ পিপার স্টেক
f44d864d0a	8845d	চিৎকারের উৎস দেখতে
f44df54b34	92bd8	তা আদায় করা হয়েছে
f44e12266d	5dec6	যেমন হিটার
f44e464aa0	0606d	গড়ে ওঠে ডজন খানেক
f44e475a49	baa02	আসলে ওরাও তো আর
f44ead0368	4fd66	ভালোবাসা ও বৈরিতা
f44ebaa6ba	77f82	তাঁর প্রশাসনের
f44f312f79	ea8fa	একটি ভিডিও তথ্যচিত্র প্রদর্শন করেন
f44f90955a	17dcd	ভারত-চীন দ্বন্দ্ব
f44f909c46	932bb	যে বড়সড় খেলার মাঠটি রয়েছে
f4500e79c8	dfefa	ফলে সত্যেন সেনের
f450113cb5	91223	২৭ হাজার ২৪৭ ভোট
f4501fee40	1b359	বিবৃতি দিয়েছে চীনা দূতাবাসও
f45021d90d	3fae0	বড়লোক হওয়ার স্বপ্ন
f4504721ce	767ff	অবশ্য পুতুলের শখ মিটে যায়
f450b85cb0	c3cca	আমি আপনাদের জন্য
f450e60a96	fcefa	এটি সম্ভবত রাশিয়া
f450f68ffe	24f73	ক্রেতাদের
f4516f991d	a274b	ছাঁটাই করছে
f451e08c62	e3d8b	তবে এতেই ক্ষান্ত হননি
f451f16c65	f1ea4	প্রয়োজনে
f4524b11f0	13b70	আমি মাঠেই থাকব
f452a47e3f	e6203	প্রশ্ন শুনে
f452c48f01	52578	আইনজীবীরা জানিয়েছেন
f452fc4140	cc9fd	যার সঙ্গে
f4530b31cf	ac904	কনস্যুলেটের রাজনীতি, অর্থনীতি
f4535a9aaa	93d3b	পূর্ণিমার রাতের বাড়তি আলো নয়
f453d7e83b	8edea	ও ভিওআইপি সফটওয়্যার
f453f43c32	f2b7d	আর সেই সাথে
f45436509e	e43d4	বেশকিছু পুরস্কার লাভ করেছেন
f4544da119	4c555	মূলত মেরুদণ্ডকে বোঝায়
f454d69e29	d1b12	সন্ধেও নামবে
f454e1aecd	c958a	সামরিক পর্যবেক্ষকদেরকে
f45524b8a2	e00db	যে সামান্য ঘটনা ঘটেছে
f45530edfa	4fc91	ফজলুল হক ১৯৪২ সালে
f456a9d654	11de3	পড়তে কি দেয়
f456aab487	1cb75	বড় আক্ষেপ হয়ে রইলো
f457c1e9cc	84145	বাংলাভিশনের অনুষ্ঠান বিভাগের প্রধান
f458127d88	e2ba2	তাঁহার বাঙ্গলায় চারিজন
f458293c54	f0f95	অনুপ্রেরণা ছিল
f4582cc82c	17dcd	নোবেল পুরস্কারের জন্য
f458340353	d2d71	বৃহস্পতিবার সকাল ৮টায়
f458ff6f1d	0606d	সম্বরণ করতে পারলে না
f45905e7e4	6973e	লেখালেখিটা বেশি করে
f4590d5dd8	d1a48	ক্রাইমিয়াতে যে গণভোট হয়েছে
f45953bdc7	121bd	২০০১ সালের নির্বাচনের
f459b37a18	ce775	বুঝতে হবে তাঁদের মন
f459ea6b36	fd880	ঘুম যে আসে ভূলি
f45b40c2ac	dafb6	কেন্দ্রীয় চরিত্র অ্যাকিলিস
f45b49fdee	7f71c	বর্ষবরণের নানা আয়োজনকে কেন্দ্র করে রমনা, শাহবাগ ও বিশ্ববিদ্যালয় এলাকায় কড়া নিরাপত্তা ব্যবস্থা নিয়েছে পুলিশ ও র‍্যাব।
f45be853e6	37e17	আগামী ১০ নভেম্বর
f45be8c643	ac0df	প্রশান্ত মহাসাগরের
f45c7f2f9c	57d54	সেদিকে নজর দিতে হবে
f45d015d92	42898	ইউক্রেইন সঙ্কট সমাধানে
f45d1a896e	6973e	পোশাক শ্রমিক তৈরির
f45d602049	44322	কিন্তু না খুললে কী হবে
f45dad973d	c0d65	এবং আধা সামরিক বাহিনী
f45db6ae3e	e9759	স্থগিতাদেশ চেয়ে শীর্ষ আদালতে
f45dc0aaa1	06527	সেটা বোঝাতে
f45e06c966	4237e	আধিপত্য ছিল তার দলেরই
f45e33928b	ac0df	নির্দেশ দিয়েছেন আদালত
f45ea382cb	d2faf	অনেক খেলার বই
f45f1d88f2	ce629	দাম বাড়ার কারণেই
f45f694395	cb1aa	তাহার একটি ছেলে হইয়া
f45f9e8519	1a4a9	তাদের দাবি দেশকে
f4605c7cce	e9589	মসজিদের সামনে দুইটি
f4608d317b	13b70	পরনির্ভরশীলতা ত্যাগের
f461573a43	287bd	আমাদের এই মূল রচনা
f4615bb898	25696	হবে ম্যাচটি
f4617962ad	65652	সময়ের জন্য
f46201d7a7	18460	ফিফা
f4620b85fe	ee7b2	আমি এ দলকে
f4620e65c4	24aed	পোলিও প্রতিরোধে
f462659d7b	b8ed8	বালাই ছিলনা
f463249457	0d9f1	রাজধানী ঢাকার যাত্রাবাড়ী থানার
f46374aada	71522	চিত্রমালার মধ্য দিয়ে
f4641256f5	ac904	রাখওয়ালা সিনেমায়
f46445cd5c	b9122	কাউকে ভয় পান না তিনি
f464562712	9b864	মহড়ার ফাঁকেই
f4646380d1	bf530	এটা নিয়ে
f464902ae9	17ca1	পীরের কন্যা জোহরা ছিল ঘরে
f464d50a98	24f73	এমন কারও সঙ্গে যার সঙ্গে আপনার ঔরসজাত মিল রয়েছে।
f46578cfb4	93bf3	একান্তভাবে কামনা করছি
f465c9d3cd	a43b5	মথুরাবাসিনীদের দ্বারা তিনি বেষ্টিতা
f465cca342	75626	প্রথম বাংলাদেশী হিসাবে
f465ded818	7ec1c	ডিজিটাল চলচ্চিত্র
f465f517e9	52578	একই মৌলিক পদার্থের
f4661e44ca	f2780	সম্পূর্ণ ঘোষণা না হওয়া পর্যন্ত
f46655bb0b	2aecc	চপার থেকে ঝাঁপ মেরেছি
f4670e4cef	f2b7d	আর দুদিন পরই
f46757bb5d	2c9c5	আলো ঝলকানো জগত
f467c41070	e3d8b	সাবধান, অসম্মান করেছে
f4682f1980	b8bf0	মিছিল করেন
f46895b55c	49d63	ওই সংগঠনটির সেক্রেটারি
f468d360ea	83c53	দায়িত্ব
f468f545e8	8845d	প্রথম হয়েছেন শিরিন আক্তার
f4696824b1	f0f95	প্রয়োজনমতো
f46a2b1a7d	4dd57	জাহাজ পরিত্যক্ত ঘোষণার পর
f46a678e83	09f0d	কর্তৃপক্ষ ১৮৭১ সাল থেকে
f46a8c99ab	16877	কৃত্রিমতা আক্রান্ত
f46aaa4f24	4f2ae	যুদ্ধ অথবা সংঘর্ষ
f46b073ff2	ac0df	তাদেরকে একে একে
f46c113d81	2b883	আমাদের দেশেও
f46c2d08a6	3d17c	শহরের কেন্দ্রে
f46c4dc961	5354e	বিহ্বল-চোখে তাকিয়ে
f46da7a337	2ee04	তার এই সিদ্ধান্তের পর
f46dd60e79	e8dde	ভূমিহীনদের স্বার্থ সংরক্ষণে
f46e7f2f8b	72649	এ আক্রমণ চালায়
f46ea505e4	75626	অগ্রসর হইলেন
f46f03b68c	e03ce	দুপুরে খাবার টেবিলে
f46f131f02	5dec6	পরে এক্ষেত্রে
f46fd6740f	93d3b	এই লাল পাখিটি
f46fdb5f40	b618b	সাজিয়ে পরিবেশন করুন
f47071b657	6ab59	যদি এগুলো
f471844633	28dfc	কোন কাজ
f4719fb9b3	1e7c6	দেশটির বেশ কয়েকজন পরিবেশ বিজ্ঞানী এই প্রকল্পের বিরুদ্ধে সোচ্চার হয়েছেন।
f471efe92c	2ecf8	সাইদুর মামুন খান বলেন
f47206b3ae	7b60a	নৌপথে দুর্ঘটনা রোধে
f47230d68d	a1d4a	একটা মাঠে আসিলাম
f47243b415	12702	সুবির দত্ত জানান
f47267a12d	287bd	প্রায় তিরিশ-চল্লিশ মিটার
f47321ae33	7898e	আমরা আগের চেয়ে
f473652327	5354e	ঘটে দ্বিতীয় বিস্ফোরণ
f47378127e	0edef	গুলি করতে ভুলে গেল
f4749d0724	86b1b	এর অস্তিত্ব
f474b541ff	5354e	রাতে তিনি
f4752a7462	5dd61	প্রবল সামলোচনার মুখে পড়ে
f475adc13e	4f2ae	দুই দলের খেলোয়াড়দের
f4766e3992	2695f	চা না ঠাণ্ডা
f478ace85c	ee886	বেঙ্গল মিউজিক
f478f55374	bfac7	কিছু বাড়তে থাকে
f4790ca208	4fd66	কেউ সংস্কৃতির
f479311647	778c0	একটি লৌকিক সমালোচনা
f479425841	2ee04	সূর্য থেকে দূরত্ব পরিবর্তিত হয়
f479550ec2	4bd2c	পেঁয়াজবাটা আধা কাপ
f4795f1710	ca831	কয়েকটা ছবি এঁকেছিলেন
f47a01699d	1279e	আর খালের মুখে ধরিল
f47a3fbbcc	2b883	তাই এ মাসে
f47ac6c009	3b1f7	তবে ফিরে আসেন
f47ae7b9bc	0606d	সাদা কাপড়ের ওপর
f47afa758d	76329	স্বাভাবিক লগারিদমের ভিত্তি
f47b1237ab	f4ba7	অবাধ নির্বাচন হয়
f47b2361e5	ad050	হেরে গেছেন আনা ইভানোভিচ
f47b6baff6	9f25e	চরের কথা শুনে
f47c42f322	c8f7f	কোমর ওই
f47cf6b349	32c77	যে প্রশ্নটি মাথার মধ্যে
f47d43c7e4	c0965	এই ষড়যন্ত্রের সঙ্গে জড়িত
f47d548d97	086dd	আমি সেই কারণে
f47d58a10d	7b60a	পুদিনা খেয়ে
f47d70f71e	18a52	টেবিলটা ভাল করে
f47dc814fc	17ca1	সাহিত্যে
f47dd14bc7	bbb22	জীবন শুরু
f47de199e9	870e3	বেশ কয়েকটি কারখানা
f47e493342	3fce2	তারিখে প্যারিসকে
f47eb344f9	d82d9	ধুম ধাড়াক্কা
f47ec83f86	66b3c	যে নথ দুলিতেছে
f47f97c2f4	c958a	জাতীয় পরিচয় পত্র
f47faa89c1	33aef	আসলে সীমান্ত সংঘাতে
f47fad726d	bcaa8	রাজনীতিক
f4800d817c	f1ea4	যখন পানি বেরোবে
f48014e7fd	ad98d	চাকরি হারালেন তিনি
